행정동코드,행정동명,구명,거주인구
11380690,진관동,은평구,54383
11500540,화곡1동,강서구,51088
11470640,신정3동,양천구,49764
11545610,독산1동,금천구,46423
11680700,세곡동,강남구,45654
11710647,위례동,송파구,44841
11740685,길동,강동구,44662
11590530,상도1동,동작구,44433
11380625,역촌동,은평구,43933
11500615,우장산동,강서구,43791
11500630,방화1동,강서구,42164
11650651,양재1동,서초구,42076
11350600,공릉2동,노원구,41668
11500510,염창동,강서구,41360
11680670,개포2동,강남구,41266
11470550,목5동,양천구,40679
11440730,성산2동,마포구,38772
11230536,용신동,동대문구,38430
11680610,대치2동,강남구,38326
11260680,신내1동,중랑구,38032
11290705,종암동,성북구,37794
11380520,불광1동,은평구,37536
11710570,오금동,송파구,37528
11530780,오류2동,구로구,37495
11230650,장안1동,동대문구,37492
11350630,상계1동,노원구,37003
11560560,당산2동,영등포구,36742
11440565,공덕동,마포구,36584
11680650,역삼2동,강남구,36573
11380510,녹번동,은평구,36151
11350595,공릉1동,노원구,36041
11620595,청룡동,관악구,35935
11530510,신도림동,구로구,35870
11500611,발산1동,강서구,35730
11590660,대방동,동작구,35695
11260655,망우본동,중랑구,35443
11710670,잠실2동,송파구,34894
11290660,길음1동,성북구,34856
11680640,역삼1동,강남구,34312
11410615,연희동,서대문구,34107
11215810,광장동,광진구,34065
11500603,가양1동,강서구,34016
11290810,석관동,성북구,33911
11710680,잠실3동,송파구,33882
11650560,반포1동,서초구,33878
11740570,암사1동,강동구,33804
11260620,묵1동,중랑구,33748
11530740,개봉1동,구로구,33219
11560540,여의동,영등포구,33064
11500590,화곡본동,강서구,33038
11740610,천호2동,강동구,32929
11260565,면목본동,중랑구,32863
11680656,도곡2동,강남구,32688
11380580,응암1동,은평구,32677
11740515,강일동,강동구,32605
11350625,중계2.3동,노원구,32588
11230660,장안2동,동대문구,32582
11620605,은천동,관악구,32462
11545670,시흥1동,금천구,32212
11560605,문래동,영등포구,32146
11590510,노량진1동,동작구,32033
11650530,서초3동,서초구,31982
11470650,신정4동,양천구,31942
11230560,전농1동,동대문구,31784
11380560,구산동,은평구,31525
11350695,상계6.7동,노원구,31477
11710632,가락2동,송파구,31239
11710600,석촌동,송파구,30906
11410720,북가좌2동,서대문구,30739
11680590,삼성2동,강남구,30669
11305575,삼각산동,강북구,30646
11560535,영등포동,영등포구,30556
11650531,서초4동,서초구,30319
11470510,목1동,양천구,30278
11590605,흑석동,동작구,30000
11530750,개봉2동,구로구,29881
11440740,상암동,마포구,29696
11620765,미성동,관악구,29688
11500620,공항동,강서구,29659
11500535,등촌3동,강서구,29496
11305660,인수동,강북구,29190
11530560,구로5동,구로구,29188
11410700,남가좌2동,서대문구,29160
11710610,삼전동,송파구,29127
11470520,목2동,양천구,29003
11620575,행운동,관악구,28962
11710642,문정2동,송파구,28777
11350580,월계3동,노원구,28762
11305545,송중동,강북구,28704
11410685,홍은2동,서대문구,28613
11710646,장지동,송파구,28557
11440555,아현동,마포구,28526
