역사명,호선,환승역수,공원수,공원면적합산(㎡),도시자연공원수,한강공원수,daily_avg,위도,경도,러닝_segment수,보정_이용자수합계,보정_누적기록합계,거리보정_이용자수합계,거리보정_누적기록합계,평균_segment_매핑역수,평균_코스거리,평균_경사,평균_역_segment거리_m,최소_역_segment거리_m,cluster,cluster_label,순위
개롱,5호선,1,9,1138363.4,0,0,12953,37.498079,127.13482,6.0,184.66666666666663,2540.6666666666665,198.42425640059216,2354.365307541123,2.6666666666666665,0.7166666666666667,0.5666666666666668,430.6283333333333,217.99,2,도심공원형,1
방이,5호선,1,5,1784475.8,0,0,14716,37.508857,127.126133,4.0,9019.041666666666,29340.541666666664,3668.4974567290974,14301.584156123172,4.0,1.46875,-1.15,532.9875,398.26,2,도심공원형,2
고덕,5호선,1,9,899865.2,0,0,19758,37.555004,127.154151,1.0,29.0,641.0,37.200939723757536,822.2690469975372,2.0,0.54,0.0,314.97,314.97,2,도심공원형,3
경찰병원,3호선,1,7,326073.1,0,0,14012,37.495918,127.12454,4.0,87.16666666666667,551.3333333333333,90.02442778966147,592.726887250416,3.0,1.505,1.725,410.74,166.38,2,도심공원형,4
신답,2호선,1,3,38270.4,0,0,3331,37.57004,127.046481,3.0,877.6839826839827,4180.205627705627,2083.475468969727,9979.423673102316,8.0,3.023333333333333,-0.2666666666666666,60.61333333333334,2.63,2,도심공원형,5
신대방,2호선,1,2,497213.1,0,0,47716,37.487462,126.913149,4.0,3154.95,99026.1,5127.006210802148,76858.28544589102,4.75,1.0655,-0.2,467.4875,6.9,2,도심공원형,6
영등포구청,5호선,2,3,1705048.9,0,0,52689,37.5242,126.89503,2.0,144.0,8648.333333333332,28.65938977152388,1725.4434161685192,3.0,0.92,0.1,711.45,638.86,2,도심공원형,7
잠실(송파구청),8호선,2,4,328075.2,0,0,199254,37.514692,127.104338,1.0,2133.2,33618.4,3591.3552793314666,56598.35848616022,5.0,2.652,0.0,257.88,257.88,2,도심공원형,8
을지로3가,2호선,2,3,237363.9,1,0,71896,37.566306,126.991696,3.0,17965.7,40692.110714285714,27859.276969309016,63223.7353176256,6.666666666666667,0.9266666666666667,1.5666666666666664,231.15,225.24,3,도시자연공원인접형,9
오금,3호선,2,6,358751.8,0,0,18802,37.502129,127.128319,6.0,151.66666666666666,857.1666666666666,133.16880764084326,744.6173705691571,2.6666666666666665,0.7066666666666667,0.55,491.125,355.02,2,도심공원형,10
