역사명,호선,환승역수,공원수,공원면적합산(㎡),도시자연공원수,한강공원수,daily_avg,위도,경도,러닝_segment수,보정_이용자수합계,보정_누적기록합계,거리보정_이용자수합계,거리보정_누적기록합계,평균_segment_매핑역수,평균_코스거리,평균_경사,평균_역_segment거리_m,최소_역_segment거리_m,cluster,cluster_label
신반포,9호선,1,2,697874.1,0,1,8909,37.503415,126.995925,4.0,5903.291666666666,270424.7083333333,6333.729301573434,345262.07808032795,4.0,3.2285,-0.4,525.925,284.14,1,한강공원인접형
구반포,9호선,1,2,68250.3,0,1,3406,37.501364,126.987332,5.0,6290.291666666666,271688.7083333333,4281.159187447707,185292.4819634968,3.6,2.6568,2.18,473.0280000000001,235.49,1,한강공원인접형
국회의사당,9호선,1,1,229539.0,0,1,33095,37.528105,126.917874,4.0,8957.305555555555,71835.61111111111,7242.909890482493,74686.76998429511,4.75,3.6525,-0.15,576.71,361.48,1,한강공원인접형
선유도,9호선,1,3,1795044.9,0,1,16183,37.53802,126.893525,5.0,10372.916666666666,52215.66666666667,9024.652187108975,46469.90009486587,3.8,3.3560000000000003,-0.16,422.238,297.52,1,한강공원인접형
신목동,9호선,1,5,1928722.3,0,1,8223,37.544277,126.88308,7.0,16727.416666666668,89980.66666666667,23222.549988718984,121208.3747026087,3.2857142857142856,3.542142857142857,1.1857142857142855,363.12142857142857,19.79,1,한강공원인접형
암사,8호선,1,1,26900.1,0,1,30201,37.55021,127.127562,3.0,324.8333333333333,21284.33333333333,300.8647043940681,21950.39118407664,2.333333333333333,7.146666666666666,0.0,616.8566666666667,509.65,1,한강공원인접형
뚝섬유원지,7호선,1,0,0.0,0,1,49494,37.53154,127.066704,4.0,14246.333333333334,37916.41666666666,13761.528386910692,37361.02132354745,2.25,5.66,-0.2249999999999999,412.125,149.36,1,한강공원인접형
여의나루,5호선,1,1,229539.0,0,1,28341,37.527098,126.932901,5.0,11027.305555555557,76222.11111111111,16391.581279325976,92361.2289252414,4.2,3.122,-0.12,344.418,47.98,1,한강공원인접형
압구정로데오,분당선,1,1,29816.3,0,1,38255,37.527381,127.040534,2.0,15602.5,68018.75,15628.147442861427,68106.29461795613,2.5,6.005,0.05,463.235,456.22,1,한강공원인접형
한남,경원선,1,1,28313.9,0,2,6806,37.52943,127.009169,4.0,47461.5,262638.0,45687.80344487418,252073.5501637076,1.5,0.6925,0.075,642.5174999999999,261.94,1,한강공원인접형
