CELL_ID,CELL_X,CELL_Y,GID,pop,행정동명,구명,거주인구
다사54504050,954625,1940625,다사54ba40ba,348.3,남현동,관악구,17772.0
다사54255675,954375,1956875,다사54ab56bb,121.7,평창동,종로구,17415.0
다사54255700,954375,1957125,다사54ab57aa,121.7,평창동,종로구,17415.0
다사54255725,954375,1957375,다사54ab57ab,121.7,평창동,종로구,17415.0
다사54255750,954375,1957625,다사54ab57ba,136.4,평창동,종로구,17415.0
다사54255575,954375,1955875,다사54ab55bb,339.5,성북동,성북구,15967.0
다사54255600,954375,1956125,다사54ab56aa,155.0,평창동,종로구,17415.0
다사54255625,954375,1956375,다사54ab56ab,121.7,평창동,종로구,17415.0
다사54255650,954375,1956625,다사54ab56ba,121.7,평창동,종로구,17415.0
다사54255875,954375,1958875,다사54ab58bb,411.7,정릉4동,성북구,24136.0
다사54255900,954375,1959125,다사54ab59aa,422.8,정릉4동,성북구,24136.0
다사54255925,954375,1959375,다사54ab59ab,422.8,정릉4동,성북구,24136.0
다사54255950,954375,1959625,다사54ab59ba,353.9,정릉4동,성북구,24136.0
다사54255775,954375,1957875,다사54ab57bb,186.0,평창동,종로구,17415.0
다사54255800,954375,1958125,다사54ab58aa,182.9,평창동,종로구,17415.0
다사54255825,954375,1958375,다사54ab58ab,246.2,정릉3동,성북구,15017.0
다사54255850,954375,1958625,다사54ab58ba,322.3,정릉3동,성북구,15017.0
다사54005750,954125,1957625,다사54aa57ba,121.7,평창동,종로구,17415.0
다사54005775,954125,1957875,다사54aa57bb,121.7,평창동,종로구,17415.0
다사54005800,954125,1958125,다사54aa58aa,121.7,평창동,종로구,17415.0
다사54005825,954125,1958375,다사54aa58ab,122.0,평창동,종로구,17415.0
다사54005650,954125,1956625,다사54aa56ba,121.7,평창동,종로구,17415.0
다사54005675,954125,1956875,다사54aa56bb,121.7,평창동,종로구,17415.0
다사54005700,954125,1957125,다사54aa57aa,121.7,평창동,종로구,17415.0
다사54005725,954125,1957375,다사54aa57ab,121.7,평창동,종로구,17415.0
다사54005950,954125,1959625,다사54aa59ba,120.5,정릉4동,성북구,24136.0
다사54006150,954125,1961625,다사54aa61ba,18.1,우이동,강북구,19895.0
다사54006175,954125,1961875,다사54aa61bb,57.1,우이동,강북구,19895.0
다사54006200,954125,1962125,다사54aa62aa,0.8,우이동,강북구,19895.0
다사54005850,954125,1958625,다사54aa58ba,191.1,평창동,종로구,17415.0
다사54005875,954125,1958875,다사54aa58bb,266.5,정릉3동,성북구,15017.0
다사54005900,954125,1959125,다사54aa59aa,422.8,정릉4동,성북구,24136.0
다사54005925,954125,1959375,다사54aa59ab,422.8,정릉4동,성북구,24136.0
다사54005350,954125,1953625,다사54aa53ba,167.3,삼청동,종로구,2246.0
다사54005375,954125,1953875,다사54aa53bb,148.8,삼청동,종로구,2246.0
다사54005400,954125,1954125,다사54aa54aa,117.9,삼청동,종로구,2246.0
다사54005425,954125,1954375,다사54aa54ab,99.8,삼청동,종로구,2246.0
다사54005250,954125,1952625,다사54aa52ba,173.4,종로1·2·3·4가동,종로구,6697.0
다사54005275,954125,1952875,다사54aa52bb,173.4,종로1·2·3·4가동,종로구,6697.0
다사54005300,954125,1953125,다사54aa53aa,142.6,삼청동,종로구,2246.0
다사54005325,954125,1953375,다사54aa53ab,137.9,삼청동,종로구,2246.0
다사54005550,954125,1955625,다사54aa55ba,346.8,성북동,성북구,15967.0
다사54005575,954125,1955875,다사54aa55bb,264.6,성북동,성북구,15967.0
다사54005600,954125,1956125,다사54aa56aa,121.7,평창동,종로구,17415.0
다사54005625,954125,1956375,다사54aa56ab,121.7,평창동,종로구,17415.0
다사54005450,954125,1954625,다사54aa54ba,95.0,삼청동,종로구,2246.0
다사54005475,954125,1954875,다사54aa54bb,95.0,삼청동,종로구,2246.0
다사54005500,954125,1955125,다사54aa55aa,98.2,삼청동,종로구,2246.0
다사54005525,954125,1955375,다사54aa55ab,295.3,성북동,성북구,15967.0
다사54254475,954375,1944875,다사54ab44bb,90.9,반포본동,서초구,229.0
다사54254500,954375,1945125,다사54ab45aa,14.7,반포본동,서초구,229.0
다사54254525,954375,1945375,다사54ab45ab,147.4,서빙고동,용산구,12460.0
다사54254550,954375,1945625,다사54ab45ba,282.5,서빙고동,용산구,12460.0
다사54254375,954375,1943875,다사54ab43bb,1738.0,방배본동,서초구,20432.0
다사54254400,954375,1944125,다사54ab44aa,1692.3,방배본동,서초구,20432.0
다사54254425,954375,1944375,다사54ab44ab,1451.8,방배본동,서초구,20432.0
다사54254450,954375,1944625,다사54ab44ba,680.0,사당2동,동작구,28195.0
다사54254675,954375,1946875,다사54ab46bb,293.9,서빙고동,용산구,12460.0
다사54254700,954375,1947125,다사54ab47aa,276.6,서빙고동,용산구,12460.0
다사54254725,954375,1947375,다사54ab47ab,276.6,서빙고동,용산구,12460.0
다사54254750,954375,1947625,다사54ab47ba,280.5,용산2가동,용산구,8937.0
다사54254575,954375,1945875,다사54ab45bb,283.9,서빙고동,용산구,12460.0
다사54254600,954375,1946125,다사54ab46aa,285.7,서빙고동,용산구,12460.0
다사54254625,954375,1946375,다사54ab46ab,298.1,서빙고동,용산구,12460.0
다사54254650,954375,1946625,다사54ab46ba,334.1,서빙고동,용산구,12460.0
다사54254075,954375,1940875,다사54ab40bb,338.8,남현동,관악구,17772.0
다사54254100,954375,1941125,다사54ab41aa,339.3,남현동,관악구,17772.0
다사54254125,954375,1941375,다사54ab41ab,460.0,남현동,관악구,17772.0
다사54254150,954375,1941625,다사54ab41ba,579.3,방배2동,서초구,18079.0
다사54253975,954375,1939875,다사54ab39bb,159.1,남현동,관악구,17772.0
다사54254000,954375,1940125,다사54ab40aa,338.8,남현동,관악구,17772.0
다사54254025,954375,1940375,다사54ab40ab,338.8,남현동,관악구,17772.0
다사54254050,954375,1940625,다사54ab40ba,338.8,남현동,관악구,17772.0
다사54254275,954375,1942875,다사54ab42bb,593.9,방배2동,서초구,18079.0
다사54254300,954375,1943125,다사54ab43aa,1309.1,방배4동,서초구,22836.0
다사54254325,954375,1943375,다사54ab43ab,1501.9,방배4동,서초구,22836.0
다사54254350,954375,1943625,다사54ab43ba,1607.8,방배4동,서초구,22836.0
다사54254175,954375,1941875,다사54ab41bb,593.9,방배2동,서초구,18079.0
다사54254200,954375,1942125,다사54ab42aa,593.9,방배2동,서초구,18079.0
다사54254225,954375,1942375,다사54ab42ab,593.9,방배2동,서초구,18079.0
다사54254250,954375,1942625,다사54ab42ba,593.9,방배2동,서초구,18079.0
