CELL_ID,공원겹침비율
다사54504050,0.0
다사54255675,1.0
다사54255700,0.705
다사54255725,0.0
다사54255750,0.0
다사54255575,1.0
다사54255600,0.995
다사54255625,1.0
다사54255650,1.0
다사54255875,0.0
다사54255900,0.0
다사54255925,0.0
다사54255950,0.0
다사54255775,0.0
다사54255800,0.0
다사54255825,0.0
다사54255850,0.0
다사54005750,0.0
다사54005775,0.0
다사54005800,0.0
다사54005825,0.0
다사54005650,0.989
다사54005675,0.965
다사54005700,0.286
다사54005725,0.0
다사54005950,0.0
다사54006150,0.0
다사54006175,0.0
다사54006200,0.0
다사54005850,0.0
다사54005875,0.0
다사54005900,0.0
다사54005925,0.0
다사54005350,0.323
다사54005375,0.241
다사54005400,0.263
다사54005425,0.488
다사54005250,0.0
다사54005275,0.0
다사54005300,0.062
다사54005325,0.137
다사54005550,1.0
다사54005575,1.0
다사54005600,1.0
다사54005625,1.0
다사54005450,0.885
다사54005475,1.0
다사54005500,1.0
다사54005525,1.0
다사54254475,0.0
다사54254500,0.004
다사54254525,0.452
다사54254550,0.0
다사54254375,0.0
다사54254400,0.0
다사54254425,0.0
다사54254450,0.0
다사54254675,0.659
다사54254700,0.825
다사54254725,0.361
다사54254750,0.0
다사54254575,0.0
다사54254600,0.0
다사54254625,0.547
다사54254650,0.73
다사54254075,0.269
다사54254100,0.475
다사54254125,0.0
다사54254150,0.0
다사54253975,0.0
다사54254000,0.0
다사54254025,0.0
다사54254050,0.0
다사54254275,0.0
다사54254300,0.0
다사54254325,0.0
다사54254350,0.0
다사54254175,0.0
다사54254200,0.0
다사54254225,0.0
다사54254250,0.0
다사54004150,0.0
다사54004175,0.0
다사54004200,0.0
다사54004225,0.0
다사54004050,0.0
다사54004075,0.317
다사54004100,1.0
다사54004125,0.591
다사54004350,0.0
다사54004375,0.0
다사54004400,0.0
다사54004425,0.0
다사54004250,0.0
다사54004275,0.0
다사54004300,0.0
다사54004325,0.0
다사53755775,0.0
다사53755800,0.0
다사53755825,0.0
다사53755850,0.0
다사53755675,0.024
다사53755700,0.0
다사53755725,0.0
다사53755750,0.0
다사54003950,0.019
다사54003975,0.3
다사54004000,0.0
다사54004025,0.0
다사53755875,0.0
다사53755900,0.0
다사53755925,0.0
다사53755950,0.0
다사54004950,0.0
다사54004975,0.0
다사54005000,0.0
다사54005025,0.276
다사54004850,0.0
다사54004875,0.0
다사54004900,0.0
다사54004925,0.0
다사54005150,0.0
다사54005175,0.0
다사54005200,0.0
다사54005225,0.0
다사54005050,0.994
다사54005075,0.278
다사54005100,0.0
다사54005125,0.0
다사54004550,0.0
다사54004575,0.0
다사54004600,0.0
다사54004625,0.587
다사54004450,0.0
다사54004475,0.003
다사54004500,0.011
다사54004525,0.273
다사54004750,0.0
다사54004775,0.0
다사54004800,0.0
다사54004825,0.0
다사54004650,0.0
다사54004675,0.109
다사54004700,0.106
다사54004725,0.0
다사53754575,0.0
다사53754600,0.0
다사53754625,0.577
다사53754650,0.0
다사53754475,0.289
다사53754500,0.337
다사53754525,0.0
다사53754550,0.0
다사53754775,0.0
다사53754800,0.0
다사53754825,0.0
다사53754850,0.0
다사53754675,0.0
다사53754700,0.0
다사53754725,0.0
다사53754750,0.0
다사53754175,0.0
다사53754200,0.0
다사53754225,0.0
다사53754250,0.0
다사53754075,0.94
다사53754100,1.0
다사53754125,0.855
다사53754150,0.086
다사53754375,0.0
다사53754400,0.0
다사53754425,0.0
다사53754450,0.0
다사53754275,0.0
다사53754300,0.0
다사53754325,0.0
다사53754350,0.0
다사53755375,0.923
다사53755400,0.054
다사53755425,0.203
다사53755450,0.907
다사53755275,0.136
다사53755300,0.676
다사53755325,1.0
다사53755350,1.0
다사53755575,1.0
다사53755600,1.0
다사53755625,1.0
다사53755650,0.584
다사53755475,1.0
다사53755500,1.0
다사53755525,1.0
다사53755550,0.973
다사53754975,0.0
다사53755000,0.0
다사53755025,0.0
다사53755050,0.245
다사53754875,0.0
다사53754900,0.0
다사53754925,0.0
다사53754950,0.0
다사53755175,0.298
다사53755200,0.031
다사53755225,0.0
다사53755250,0.0
다사53755075,0.496
다사53755100,0.0
다사53755125,0.0
다사53755150,0.0
다사53504975,0.0
다사53505000,0.0
다사53505025,0.0
다사53505050,0.0
다사53504875,0.0
다사53504900,0.0
다사53504925,0.0
다사53504950,0.0
다사53505175,0.536
다사53505200,0.3
다사53505225,0.0
다사53505250,0.0
다사53505075,0.0
다사53505100,0.0
다사53505125,0.0
다사53505150,0.0
다사53504575,0.0
다사53504600,0.0
다사53504625,0.569
다사53504650,0.011
다사53504475,0.0
다사53504500,0.042
다사53504525,0.0
다사53504550,0.0
다사53504775,0.0
다사53504800,0.0
다사53504825,0.0
다사53504850,0.0
다사53504675,0.0
다사53504700,0.0
다사53504725,0.0
다사53504750,0.0
다사53505775,0.0
다사53505800,0.0
다사53505825,0.0
다사53505850,0.0
다사53505675,0.0
다사53505700,0.0
다사53505725,0.0
다사53505750,0.0
다사53753975,0.841
다사53754000,0.264
다사53754025,0.0
다사53754050,0.151
다사53505875,0.0
다사53505900,0.0
다사53505925,0.0
다사53753950,0.136
다사53505375,0.617
다사53505400,0.258
다사53505425,0.073
다사53505450,0.822
다사53505275,0.127
다사53505300,0.444
다사53505325,0.763
다사53505350,0.822
다사53505575,1.0
다사53505600,1.0
다사53505625,0.902
다사53505650,0.319
다사53505475,1.0
다사53505500,0.977
다사53505525,0.457
다사53505550,0.406
다사53255375,0.046
다사53255400,0.2
다사53255425,0.212
다사53255450,0.691
다사53255275,0.0
다사53255300,0.0
다사53255325,0.0
다사53255350,0.0
다사53255575,0.679
다사53255600,0.997
다사53255625,0.485
다사53255650,0.0
다사53255475,1.0
다사53255500,0.761
다사53255525,0.0
다사53255550,0.005
다사53254975,0.0
다사53255000,0.0
다사53255025,0.0
다사53255050,0.0
다사53254875,0.0
다사53254900,0.0
다사53254925,0.0
다사53254950,0.0
다사53255175,0.0
다사53255200,0.111
다사53255225,0.144
다사53255250,0.022
다사53255075,0.0
다사53255100,0.0
다사53255125,0.0
다사53255150,0.0
다사53504175,0.0
다사53504200,0.0
다사53504225,0.0
다사53504250,0.0
다사53504075,1.0
다사53504100,1.0
다사53504125,0.995
다사53504150,0.343
다사53504375,0.0
다사53504400,0.0
다사53504425,0.0
다사53504450,0.0
다사53504275,0.074
다사53504300,0.25
다사53504325,0.0
다사53504350,0.0
다사53255775,0.0
다사53255800,0.0
다사53255825,0.0
다사53255850,0.0
다사53255675,0.0
다사53255700,0.0
다사53255725,0.0
다사53255750,0.0
다사53503975,1.0
다사53504000,0.996
다사53504025,0.866
다사53504050,0.831
다사53255875,0.0
다사53255900,0.0
다사53255925,0.0
다사53503950,0.498
다사53005800,0.0
다사53005825,0.0
다사53005850,0.0
다사53005875,0.0
다사53005700,0.0
다사53005725,0.0
다사53005750,0.0
다사53005775,0.0
다사53253975,1.0
다사53254000,1.0
다사53254025,1.0
다사53254050,1.0
다사53005900,0.0
다사53253900,0.0
다사53253925,0.419
다사53253950,0.974
다사53005400,0.131
다사53005425,0.021
다사53005450,0.165
다사53005475,0.844
다사53005300,0.203
다사53005325,0.0
다사53005350,0.0
다사53005375,0.0
다사53005600,0.472
다사53005625,0.089
다사53005650,0.0
다사53005675,0.0
다사53005500,0.123
다사53005525,0.0
다사53005550,0.0
다사53005575,0.04
다사53254575,0.0
다사53254600,0.0
다사53254625,0.305
다사53254650,0.306
다사53254475,0.0
다사53254500,0.0
다사53254525,0.0
다사53254550,0.0
다사53254775,0.0
다사53254800,0.0
다사53254825,0.0
다사53254850,0.0
다사53254675,0.0
다사53254700,0.0
다사53254725,0.0
다사53254750,0.0
다사53254175,0.07
다사53254200,0.0
다사53254225,0.0
다사53254250,0.0
다사53254075,1.0
다사53254100,1.0
다사53254125,0.83
다사53254150,0.226
다사53254375,0.0
다사53254400,0.0
다사53254425,0.0
다사53254450,0.0
다사53254275,0.0
다사53254300,0.135
다사53254325,0.001
