CELL_ID,위도,경도,생활이동인구,스트라바이용자수,거주인구,녹시율,공원겹침비율
다사53755250,37.571842778677315,126.97766640976022,60436.18,0.0,183.5,0.0,0.0
다사56004500,37.504353246778805,127.00359353743858,54935.915,0.0,815.5,0.1337750704245192,0.0
다사49254750,37.52654061662498,126.92705433042258,47832.975,1205.5,245.1,0.5783250283742744,0.052
다사52255125,37.56049994442082,126.96076185227476,33633.34,0.0,1493.8,0.296172183650001,0.0
다사55755300,37.57644741891692,127.00028410034253,39854.265,0.0,405.3,0.0,0.0
다사64754600,37.513741217348986,127.10254173643104,44824.75,0.0,683.0,0.6296871090006263,0.0
다사58755100,37.55855981883987,127.03437028003208,38439.17,0.0,1765.2,0.7721260838218438,0.0
다사61506175,37.655570862865616,127.06494177737021,37379.350000000006,0.0,1194.6,0.5562899661184024,0.0
다사52504775,37.52896663021965,126.9638183736759,37383.21000000001,0.0,460.4,0.0116781469363847,0.0
다사58254400,37.495444117796744,127.02910607676216,38716.975,0.0,1060.2,0.3780039036559146,0.0
다사58004425,37.49768615171334,127.02626373908714,34623.615000000005,0.0,1729.5,0.6163733530500731,0.0
다사61004575,37.511337466509374,127.06012278458503,38758.245,0.0,395.6,0.1872787059852146,0.0
다사49005075,37.55581958557391,126.92399978991561,36571.33,0.0,897.6,0.3419547643818986,0.0
다사60254500,37.50454552545112,127.0516770739292,36712.535,0.0,1665.4,0.5588297290726633,0.0
다사61004600,37.51359081183579,127.06010955975586,41200.935,807.0,395.6,0.951924449266006,0.0
다사54004325,37.4884827129798,126.98107530981738,35017.765,0.0,680.6,0.2255310934529628,0.0
다사54005175,37.56509537784099,126.9805443272109,33428.14,0.0,148.1,0.523334230681178,0.0
다사42254800,37.530636252020365,126.84779739055436,73239.245,0.0,2546.6,0.6629158340679707,0.0
다사64754575,37.51148785985343,127.10255368566904,33726.65,888.8333333333334,796.6,1.0,0.444
다사66754875,37.538602142245125,127.12504831426857,29224.595,0.0,1613.5,0.3759055786267243,0.0
다사60254325,37.488772083811206,127.05177136000812,29640.22,0.0,2063.6,0.825770895798751,0.0
다사58006000,37.63964487286289,127.02536378272728,31418.105000000003,0.0,1928.6,0.9595843101628532,0.0
다사56254500,37.504365099055306,127.00642196792478,32802.21,117.2,811.5,0.1004787042961641,0.03
다사45254875,37.53757869649713,126.88169387168745,26908.085,0.0,1440.4,1.0,0.0
다사49004725,37.524273564220614,126.92424241761141,27322.655,0.0,245.1,0.7843361896621728,0.002
다사51004900,37.54015482723977,126.94675913653855,25483.04,0.0,1873.6,0.5437824957309891,0.0
다사54004275,37.48397605441117,126.98110648152581,26020.485,0.0,1844.5,0.3921593673421765,0.0
다사49004350,37.490474066690126,126.92450195644274,22094.195,0.0,1956.2,0.5220118628449881,0.0
다사64254575,37.51146868802523,127.09689621419618,32511.64,0.0,1373.8,0.2601923193169899,0.0
다사47254650,37.517415497917895,126.904492180836,27001.54,0.0,1392.6,0.3944807177362535,0.0
다사40505225,37.568830328905214,126.82764802869976,23371.31,0.0,436.9,0.0,0.0
다사49255700,37.61216514478258,126.92639805521125,21528.7,0.0,1973.6,0.0669330917812206,0.0
다사49504275,37.483741552828086,126.93020904575056,26075.135,0.0,2328.1,0.3908240373769003,0.0
다사65254750,37.5272802557292,127.10812868081611,29146.055,0.0,580.4,0.0,0.039
다사54005200,37.56734867633112,126.9805286796189,29404.5,0.0,169.1,0.8359435232419281,0.0
다사61006175,37.655549821200864,127.05927341915809,27404.505,0.0,882.1,0.7550975891112306,0.0
다사58004475,37.5021928306498,127.02623526598246,29621.865,0.0,1241.9,0.6262072058566082,0.0
다사48755775,37.6188972440818,126.92068067256372,26175.99,0.0,1341.5,0.1691562662937831,0.0
다사44754775,37.52853584869121,126.87610971198256,21007.5,0.0,1321.4,0.6076609807603341,0.0
다사60254450,37.50003883216882,127.05170402030863,26010.05,0.0,1781.1,0.6296039651967078,0.0
다사64254850,37.536255555824845,127.09676282742963,27051.915,158.92307692307693,1693.2,0.1850086580621645,0.0
다사45004850,37.53531057667097,126.8788829370606,25260.475,140.75,1440.4,1.0,0.124
다사49504675,37.519794420443894,126.92993500094158,25230.57,0.0,245.1,1.0,0.0
다사54004200,37.47721606005505,126.98115322607448,26305.705,0.7586206896551724,1448.7,0.4260842303063264,0.0
다사56505225,37.569723150842755,127.00882196625082,26009.43,0.0,316.4,0.1617933352250803,0.0
