CELL_ID,4월_유출,4월_유입,4월_총이동,9월_유출,9월_유입,9월_총이동,일평균_유출,일평균_유입,일평균_총이동
다사42254800,57633.8,57174.6,114808.4,15718.85,15951.24,31670.09,36676.325000000004,36562.92,73239.245
다사53755250,28004.55,28481.6,56486.15,32094.48,32291.73,64386.21,30049.515,30386.665,60436.18
다사56004500,26125.05,29216.25,55341.3,25833.87,28696.66,54530.53,25979.46,28956.455,54935.915
다사49254750,23496.55,24199.7,47696.25,23830.61,24139.09,47969.7,23663.58,24169.395,47832.975
다사64754600,24117.1,25321.8,49438.9,19429.43,20781.17,40210.6,21773.265,23051.485,44824.75
다사56004250,35567.7,33951.4,69519.1,7166.92,6336.62,13503.54,21367.309999999998,20144.010000000002,41511.32000000001
다사61004600,24930.85,24338.65,49269.5,16517.02,16615.35,33132.37,20723.934999999998,20477,41200.935
다사55755300,19348,16498.65,35846.65,23190.03,20671.86,43861.88,21269.015,18585.255,39854.265
다사61004575,21216.3,20335.7,41552,17916.88,18047.61,35964.49,19566.59,19191.655,38758.244999999995
다사58254400,20270.95,20795.25,41066.2,17952.87,18414.88,36367.75,19111.91,19605.065000000002,38716.975
다사58755100,19417.65,18041.8,37459.45,20397.63,19021.26,39418.89,19907.64,18531.53,38439.17
다사53254825,31195.15,30917.25,62112.4,7056.75,6994.29,14051.04,19125.95,18955.77,38081.72
다사52504775,16784.95,20589.1,37374.05,17302.73,20089.64,37392.37,17043.84,20339.37,37383.21000000001
다사61506175,17915.1,18610.2,36525.3,18756.64,19476.77,38233.4,18335.87,19043.485,37379.350000000006
다사60254500,19899.6,20279.7,40179.3,16505.18,16740.6,33245.77,18202.39,18510.15,36712.535
다사49005075,17083.85,20189.4,37273.25,16334.89,19534.51,35869.41,16709.37,19861.955,36571.33
다사54004325,18793.95,19267.15,38061.1,15788.32,16186.11,31974.43,17291.135000000002,17726.63,35017.765
다사58004425,16637.25,16265.9,32903.15,18322.13,18021.95,36344.08,17479.690000000002,17143.925,34623.615000000005
