역사명,호선,환승역수,공원수,공원면적합산(㎡),도시자연공원수,한강공원수,daily_avg,위도,경도,러닝_segment수,보정_이용자수합계,보정_누적기록합계,거리보정_이용자수합계,거리보정_누적기록합계,평균_segment_매핑역수,평균_코스거리,평균_경사,평균_역_segment거리_m,최소_역_segment거리_m
정릉,우이신설선,1,2,137759,1,0,8959,37.603133,127.013396,3.0,232.66666666666666,1570.0,250.35923687754217,1678.5555589247772,2.0,0.86,7.166666666666667,315.05333333333334,202.69
북한산보국문,우이신설선,1,1,0,1,0,11974,37.612072,127.008251,4.0,2821.5,13561.0,2683.34042933319,13601.77850613224,1.75,0.83834225,4.25,665.2249999999999,506.78
솔샘,우이신설선,1,1,0,1,0,11038,37.620238,127.013626,4.0,2588.6666666666665,13045.333333333334,3130.07294788389,13630.919200233098,2.25,1.6902499999999998,1.7999999999999998,501.9375,387.63
삼양사거리,우이신설선,1,1,0,1,0,5087,37.621337,127.020473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
삼양,우이신설선,1,1,0,1,0,4836,37.626914,127.018106,3.0,2632.1666666666665,4841.333333333333,2302.228992790127,4245.110425888125,2.3333333333333335,1.9233333333333331,5.566666666666666,730.4133333333333,696.56
화계,우이신설선,1,1,0,1,0,7031,37.634133,127.017511,2.0,1601.6666666666665,2895.3333333333335,1509.9221600301603,2754.5790479707393,2.5,2.53,4.05,730.345,729.87
가오리,우이신설선,1,0,0,0,0,8382,37.641537,127.016789,1.0,250.4,2826.2,90.25434253921578,1018.6774076850305,5.0,2.05,-0.5,768.79,768.79
4.19민주묘지,우이신설선,1,3,362973,1,0,6984,37.649502,127.013684,3.0,2330.9,6681.7,3452.3543686327084,14214.182014941218,3.0,1.8050666666666668,3.6,217.85,82.82
솔밭공원,우이신설선,1,2,362973,0,0,5047,37.65603,127.013273,5.0,3750.4,9405.7,2843.723282225268,6630.373962389973,2.6,1.5934,5.64,601.736,470.28
북한산우이,우이신설선,1,0,0,0,0,6182,37.662909,127.012706,3.0,2393.5,4404.0,2642.636715514076,4882.925421393631,1.6666666666666667,2.5919333333333334,1.8,520.0133333333333,484.0
관악산(서울대),신림선,1,1,0,1,0,6412,37.4691018,126.9450639,5.0,4151.25,425310.0,4032.6200449004878,424876.0227909233,1.8,4.4866,3.4599999999999995,575.586,144.31
서울대벤처타운,신림선,1,2,129678,1,0,18672,37.4720019,126.9339351,6.0,921.25,6586.5,677.7898807907061,4756.798468086568,2.3333333333333335,0.6288333333333332,6.566666666666666,537.6933333333333,74.26
