"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20251201","중앙선","지평","54","68","20251204",""
"20251201","1호선","시청","30091","29808","20251204",""
"20251201","1호선","종각","44436","43871","20251204",""
"20251201","1호선","종로3가","25284","22690","20251204",""
"20251201","1호선","종로5가","25161","24791","20251204",""
"20251201","1호선","동대문","12483","12078","20251204",""
"20251201","1호선","신설동","15409","15088","20251204",""
"20251201","1호선","제기동","17329","17736","20251204",""
"20251201","1호선","청량리(서울시립대입구)","24297","24439","20251204",""
"20251201","1호선","동묘앞","9528","9604","20251204",""
"20251201","2호선","시청","31147","29254","20251204",""
"20251201","2호선","을지로입구","56300","57670","20251204",""
"20251201","2호선","을지로3가","27859","27697","20251204",""
"20251201","2호선","을지로4가","16514","15942","20251204",""
"20251201","2호선","동대문역사문화공원(DDP)","15359","17819","20251204",""
"20251201","2호선","신당","15798","15974","20251204",""
"20251201","2호선","상왕십리","15746","15727","20251204",""
"20251201","2호선","왕십리(성동구청)","17010","15218","20251204",""
"20251201","2호선","한양대","15825","17700","20251204",""
"20251201","2호선","뚝섬","26806","28278","20251204",""
"20251201","2호선","성수","55200","58796","20251204",""
"20251201","2호선","건대입구","37684","38918","20251204",""
"20251201","2호선","구의(광진구청)","29846","29804","20251204",""
"20251201","2호선","강변(동서울터미널)","27971","25192","20251204",""
"20251201","2호선","잠실나루","17371","16877","20251204",""
"20251201","2호선","잠실(송파구청)","80759","80516","20251204",""
"20251201","2호선","잠실새내","25365","24619","20251204",""
"20251201","2호선","종합운동장","8294","9075","20251204",""
"20251201","2호선","삼성(무역센터)","58922","57180","20251204",""
"20251201","2호선","선릉","66851","59005","20251204",""
"20251201","2호선","역삼","59929","67374","20251204",""
"20251201","2호선","강남","87792","86480","20251204",""
"20251201","2호선","교대(법원.검찰청)","34781","41250","20251204",""
"20251201","2호선","서초","24292","24009","20251204",""
"20251201","2호선","방배","20538","21079","20251204",""
"20251201","2호선","사당","42806","46256","20251204",""
"20251201","2호선","낙성대(강감찬)","29788","29778","20251204",""
"20251201","2호선","서울대입구(관악구청)","50983","49680","20251204",""
"20251201","2호선","봉천","26988","25838","20251204",""
"20251201","2호선","신림","58334","57457","20251204",""
"20251201","2호선","신대방","26658","25793","20251204",""
"20251201","2호선","구로디지털단지","63830","63732","20251204",""
"20251201","2호선","대림(구로구청)","26624","27146","20251204",""
"20251201","2호선","신도림","50819","48171","20251204",""
"20251201","2호선","문래","25861","26254","20251204",""
"20251201","2호선","영등포구청","26287","26897","20251204",""
"20251201","2호선","당산","20290","23474","20251204",""
"20251201","2호선","합정","30041","32247","20251204",""
"20251201","2호선","홍대입구","65596","68656","20251204",""
"20251201","2호선","신촌","40184","40675","20251204",""
"20251201","2호선","이대","19894","22211","20251204",""
"20251201","2호선","아현","12324","11753","20251204",""
"20251201","2호선","충정로(경기대입구)","11496","12372","20251204",""
"20251201","2호선","용답","3288","3365","20251204",""
"20251201","2호선","신답","1917","2217","20251204",""
"20251201","2호선","신설동","3883","3912","20251204",""
"20251201","2호선","도림천","1457","1491","20251204",""
"20251201","2호선","양천구청","7660","8167","20251204",""
"20251201","2호선","신정네거리","11179","11473","20251204",""
"20251201","2호선","용두(동대문구청)","2672","2780","20251204",""
"20251201","3호선","지축","8214","8503","20251204",""
"20251201","3호선","구파발","24293","22986","20251204",""
"20251201","3호선","연신내","39757","37864","20251204",""
"20251201","3호선","불광","18043","18922","20251204",""
"20251201","3호선","녹번","17012","15974","20251204",""
"20251201","3호선","홍제","20126","19337","20251204",""
"20251201","3호선","무악재","4653","4731","20251204",""
"20251201","3호선","독립문","8091","8522","20251204",""
"20251201","3호선","경복궁(정부서울청사)","26901","26998","20251204",""
"20251201","3호선","안국","26792","26918","20251204",""
"20251201","3호선","종로3가","11841","12758","20251204",""
"20251201","3호선","을지로3가","13952","13227","20251204",""
"20251201","3호선","충무로","3","0","20251204",""
"20251201","3호선","동대입구","12080","13254","20251204",""
"20251201","3호선","약수","13722","13563","20251204",""
"20251201","3호선","금호","8835","8290","20251204",""
"20251201","3호선","옥수","9617","9955","20251204",""
"20251201","3호선","압구정","33644","35977","20251204",""
"20251201","3호선","신사","28546","29736","20251204",""
"20251201","3호선","잠원","7976","7631","20251204",""
"20251201","1호선","서울역","78058","72251","20251204",""
"20251201","3호선","고속터미널","45971","43903","20251204",""
"20251201","3호선","교대(법원.검찰청)","18850","11351","20251204",""
"20251201","3호선","남부터미널(예술의전당)","32357","32637","20251204",""
"20251201","3호선","양재(서초구청)","42532","45394","20251204",""
"20251201","3호선","매봉","14797","14159","20251204",""
"20251201","3호선","도곡","7202","6870","20251204",""
"20251201","3호선","대치","12872","12899","20251204",""
"20251201","3호선","학여울","2255","2374","20251204",""
"20251201","3호선","대청","12564","11751","20251204",""
"20251201","3호선","일원","13320","13172","20251204",""
"20251201","3호선","수서","20030","20260","20251204",""
"20251201","3호선","가락시장","10199","9919","20251204",""
"20251201","3호선","경찰병원","8568","8531","20251204",""
"20251201","3호선","오금","7448","6651","20251204",""
"20251201","4호선","불암산","10624","9103","20251204",""
"20251201","4호선","상계","21335","20196","20251204",""
"20251201","4호선","노원","21906","24397","20251204",""
"20251201","4호선","창동","28784","30336","20251204",""
"20251201","4호선","쌍문","31136","29684","20251204",""
"20251201","4호선","수유(강북구청)","36245","36864","20251204",""
"20251201","4호선","미아(서울사이버대학)","17946","17583","20251204",""
"20251201","4호선","미아사거리","27513","27266","20251204",""
"20251201","4호선","길음","23867","24441","20251204",""
"20251201","4호선","성신여대입구(돈암)","24300","23545","20251204",""
"20251201","4호선","한성대입구(삼선교)","16283","15516","20251204",""
"20251201","4호선","혜화","36112","35490","20251204",""
"20251201","4호선","동대문","20700","20910","20251204",""
"20251201","4호선","동대문역사문화공원(DDP)","20297","17844","20251204",""
"20251201","4호선","충무로","36185","36556","20251204",""
"20251201","4호선","명동","37541","39959","20251204",""
"20251201","4호선","회현(남대문시장)","31649","33036","20251204",""
"20251201","4호선","서울역","14427","22925","20251204",""
"20251201","4호선","숙대입구(갈월)","17188","16558","20251204",""
"20251201","4호선","삼각지(전쟁기념관)","6453","7134","20251204",""
"20251201","4호선","신용산","22171","23830","20251204",""
"20251201","4호선","이촌(국립중앙박물관)","10539","11509","20251204",""
"20251201","4호선","동작(현충원)","1909","1960","20251204",""
"20251201","4호선","총신대입구(이수)","21135","22938","20251204",""
"20251201","4호선","사당","26797","23745","20251204",""
"20251201","4호선","남태령","1547","1355","20251204",""
"20251201","5호선","방화","7847","7576","20251204",""
"20251201","5호선","개화산","6861","6641","20251204",""
"20251201","5호선","김포공항","13692","8363","20251204",""
"20251201","5호선","송정","6892","6618","20251204",""
"20251201","5호선","마곡","17297","17162","20251204",""
"20251201","5호선","발산","26861","27449","20251204",""
"20251201","5호선","우장산","16779","16863","20251204",""
"20251201","5호선","화곡","31706","29767","20251204",""
"20251201","5호선","까치산","29886","29128","20251204",""
"20251201","5호선","신정(은행정)","15020","12533","20251204",""
"20251201","5호선","목동","17876","20032","20251204",""
"20251201","5호선","오목교(목동운동장앞)","22398","23750","20251204",""
"20251201","5호선","양평","9566","9449","20251204",""
"20251201","5호선","영등포구청","5630","5551","20251204",""
"20251201","5호선","영등포시장","12682","12706","20251204",""
"20251201","5호선","신길","5447","5866","20251204",""
"20251201","5호선","여의도","33671","35281","20251204",""
"20251201","5호선","여의나루","12002","13693","20251204",""
"20251201","5호선","마포","16936","17167","20251204",""
"20251201","5호선","공덕","16410","17180","20251204",""
"20251201","5호선","애오개","7598","7403","20251204",""
"20251201","5호선","충정로(경기대입구)","5835","5962","20251204",""
"20251201","5호선","서대문","22691","23035","20251204",""
"20251201","5호선","광화문(세종문화회관)","37329","39146","20251204",""
"20251201","5호선","종로3가","14107","13764","20251204",""
"20251201","5호선","을지로4가","7486","7381","20251204",""
"20251201","5호선","동대문역사문화공원(DDP)","3886","4192","20251204",""
"20251201","5호선","청구","3842","3547","20251204",""
"20251201","5호선","신금호","7094","7482","20251204",""
"20251201","5호선","행당","8974","7991","20251204",""
"20251201","5호선","왕십리(성동구청)","4974","5405","20251204",""
"20251201","5호선","마장","6606","6434","20251204",""
"20251201","5호선","답십리","17641","15914","20251204",""
"20251201","5호선","장한평","21784","21511","20251204",""
"20251201","5호선","군자(능동)","13035","14315","20251204",""
"20251201","5호선","아차산(어린이대공원후문)","15573","15417","20251204",""
"20251201","5호선","광나루(장신대)","12981","12549","20251204",""
"20251201","5호선","천호(풍납토성)","21179","20676","20251204",""
"20251201","5호선","강동","21047","20398","20251204",""
"20251201","5호선","길동","9882","10186","20251204",""
"20251201","5호선","굽은다리(강동구민회관앞)","10676","10259","20251204",""
"20251201","5호선","명일","8922","8872","20251204",""
"20251201","5호선","고덕","12105","11959","20251204",""
"20251201","5호선","상일동","16727","15993","20251204",""
"20251201","5호선","둔촌동","14689","14469","20251204",""
"20251201","5호선","올림픽공원(한국체대)","5297","4438","20251204",""
"20251201","5호선","방이","7984","8318","20251204",""
"20251201","5호선","오금","4261","4323","20251204",""
"20251201","5호선","개롱","7175","7573","20251204",""
"20251201","5호선","거여","11552","11342","20251204",""
"20251201","5호선","마천","8153","7198","20251204",""
"20251201","5호선","강일","6722","6344","20251204",""
"20251201","5호선","미사","19330","19507","20251204",""
"20251201","5호선","하남풍산","5258","5037","20251204",""
"20251201","5호선","하남시청(덕풍·신장)","9527","9084","20251204",""
"20251201","5호선","하남검단산","7063","6638","20251204",""
"20251201","6호선","응암","19786","19625","20251204",""
"20251201","6호선","역촌","4222","5021","20251204",""
"20251201","6호선","불광","5071","4895","20251204",""
"20251201","6호선","독바위","2888","3073","20251204",""
"20251201","6호선","구산","9031","7157","20251204",""
"20251201","6호선","새절(신사)","14223","13435","20251204",""
"20251201","6호선","증산(명지대앞)","10167","10181","20251204",""
"20251201","6호선","디지털미디어시티","16656","18103","20251204",""
"20251201","6호선","월드컵경기장(성산)","4226","4351","20251204",""
"20251201","6호선","마포구청","16467","15055","20251204",""
"20251201","6호선","망원","15908","16787","20251204",""
"20251201","6호선","합정","13224","13037","20251204",""
"20251201","6호선","상수","10231","11168","20251204",""
"20251201","6호선","광흥창(서강)","10900","10405","20251204",""
"20251201","6호선","대흥(서강대앞)","10883","11428","20251204",""
"20251201","6호선","공덕","21436","20951","20251204",""
"20251201","6호선","효창공원앞","8730","8232","20251204",""
"20251201","6호선","삼각지(전쟁기념관)","7663","6959","20251204",""
"20251201","6호선","녹사평(용산구청)","4992","4982","20251204",""
"20251201","6호선","이태원","10565","10508","20251204",""
"20251201","6호선","한강진","8322","9855","20251204",""
"20251201","6호선","버티고개","2498","2229","20251204",""
"20251201","6호선","약수","4047","4050","20251204",""
"20251201","6호선","청구","4120","4166","20251204",""
"20251201","6호선","신당","9067","9413","20251204",""
"20251201","6호선","동묘앞","9191","9655","20251204",""
"20251201","6호선","창신","4185","3528","20251204",""
"20251201","6호선","보문","8864","8564","20251204",""
"20251201","6호선","안암(고대병원앞)","16038","16812","20251204",""
"20251201","6호선","고려대(종암)","10391","10047","20251204",""
"20251201","6호선","월곡(동덕여대)","14161","13778","20251204",""
"20251201","6호선","상월곡(한국과학기술연구원)","7521","7348","20251204",""
"20251201","6호선","돌곶이","13266","12364","20251204",""
"20251201","6호선","석계","14047","14401","20251204",""
"20251201","6호선","태릉입구","6184","7133","20251204",""
"20251201","6호선","화랑대(서울여대입구)","13741","11707","20251204",""
"20251201","6호선","봉화산(서울의료원)","9770","9089","20251204",""
"20251201","7호선","장암","3065","1067","20251204",""
"20251201","7호선","도봉산","10374","11474","20251204",""
"20251201","7호선","수락산","13688","13693","20251204",""
"20251201","7호선","마들","14965","14248","20251204",""
"20251201","7호선","노원","22779","23715","20251204",""
"20251201","7호선","중계","16713","15712","20251204",""
"20251201","7호선","하계","20380","19245","20251204",""
"20251201","7호선","공릉(서울과학기술대)","13780","13692","20251204",""
"20251201","7호선","태릉입구","9528","9399","20251204",""
"20251201","7호선","먹골","11209","11172","20251204",""
"20251201","7호선","중화","12219","12368","20251204",""
"20251201","7호선","상봉","19101","18809","20251204",""
"20251201","7호선","면목","16648","16557","20251204",""
"20251201","7호선","사가정","17522","18005","20251204",""
"20251201","7호선","용마산(용마폭포공원)","6246","6142","20251204",""
"20251201","7호선","중곡","12204","11471","20251204",""
"20251201","7호선","군자(능동)","16327","13122","20251204",""
"20251201","7호선","어린이대공원(세종대)","19499","20192","20251204",""
"20251201","7호선","건대입구","14988","15435","20251204",""
"20251201","7호선","자양(뚝섬한강공원)","8254","8204","20251204",""
"20251201","7호선","청담","20877","22854","20251204",""
"20251201","7호선","강남구청","18080","19821","20251204",""
"20251201","7호선","학동","26659","27161","20251204",""
"20251201","7호선","논현","21704","22327","20251204",""
"20251201","7호선","반포","7548","7304","20251204",""
"20251201","7호선","고속터미널","18058","15908","20251204",""
"20251201","7호선","내방","16765","16683","20251204",""
"20251201","7호선","이수","18133","17686","20251204",""
"20251201","7호선","남성","12490","12345","20251204",""
"20251201","7호선","숭실대입구(살피재)","17007","17397","20251204",""
"20251201","7호선","상도","14077","14308","20251204",""
"20251201","7호선","장승배기","10978","10910","20251204",""
"20251201","7호선","신대방삼거리","16762","16379","20251204",""
"20251201","7호선","보라매","7272","7686","20251204",""
"20251201","7호선","신풍","13436","12634","20251204",""
"20251201","7호선","대림(구로구청)","9582","9581","20251204",""
"20251201","7호선","남구로","17218","18088","20251204",""
"20251201","7호선","가산디지털단지","51164","51470","20251204",""
"20251201","7호선","철산","24557","25215","20251204",""
"20251201","7호선","광명사거리","23818","23543","20251204",""
"20251201","7호선","천왕","13496","13283","20251204",""
"20251201","경부선","금정","30878","31610","20251204",""
"20251201","7호선","온수(성공회대입구)","11748","10849","20251204",""
"20251201","8호선","암사역사공원","7721","6601","20251204",""
"20251201","8호선","암사","17799","16668","20251204",""
"20251201","8호선","천호(풍납토성)","18843","21007","20251204",""
"20251201","8호선","강동구청","11968","12523","20251204",""
"20251201","8호선","몽촌토성(평화의문)","7984","8008","20251204",""
"20251201","8호선","잠실(송파구청)","20242","23151","20251204",""
"20251201","8호선","석촌","9582","10655","20251204",""
"20251201","8호선","송파","10911","10881","20251204",""
"20251201","8호선","가락시장","9651","10610","20251204",""
"20251201","8호선","문정","26404","27742","20251204",""
"20251201","8호선","장지","18824","17748","20251204",""
"20251201","8호선","복정","10915","9384","20251204",""
"20251201","8호선","산성","6899","7111","20251204",""
"20251201","8호선","남한산성입구(성남법원.검찰청)","15059","14104","20251204",""
"20251201","8호선","단대오거리","13565","12988","20251204",""
"20251201","8호선","신흥","5632","5983","20251204",""
"20251201","8호선","수진","5935","5556","20251204",""
"20251201","8호선","모란","5209","4008","20251204",""
"20251201","8호선","남위례","8497","8336","20251204",""
"20251201","9호선","개화","2914","1927","20251204",""
"20251201","9호선","김포공항","6474","10728","20251204",""
"20251201","9호선","공항시장","2938","3206","20251204",""
"20251201","9호선","신방화","7668","7576","20251204",""
"20251201","9호선","마곡나루(서울식물원)","16156","15830","20251204",""
"20251201","9호선","양천향교","12406","12911","20251204",""
"20251201","9호선","가양","24672","24403","20251204",""
"20251201","9호선","증미","9485","9184","20251204",""
"20251201","9호선","등촌","14527","14101","20251204",""
"20251201","9호선","염창","19836","19092","20251204",""
"20251201","9호선","신목동","5232","4788","20251204",""
"20251201","9호선","선유도","10615","9805","20251204",""
"20251201","9호선","당산","20301","20174","20251204",""
"20251201","9호선","국회의사당","20848","21404","20251204",""
"20251201","9호선","여의도","35916","34558","20251204",""
"20251201","9호선","샛강","7419","7594","20251204",""
"20251201","9호선","노량진","29537","29130","20251204",""
"20251201","9호선","노들","5290","4449","20251204",""
"20251201","9호선","흑석(중앙대입구)","10945","11489","20251204",""
"20251201","9호선","동작(현충원)","1854","1646","20251204",""
"20251201","9호선","구반포","2368","2135","20251204",""
"20251201","9호선","신반포","5295","4998","20251204",""
"20251201","9호선","고속터미널","14761","19706","20251204",""
"20251201","9호선","사평","4739","4629","20251204",""
"20251201","9호선","신논현","32797","33030","20251204",""
"20251201","9호선2~3단계","언주","13069","13385","20251204",""
"20251201","9호선2~3단계","선정릉","11483","12297","20251204",""
"20251201","9호선2~3단계","삼성중앙","9602","9932","20251204",""
"20251201","9호선2~3단계","봉은사","22582","23611","20251204",""
"20251201","9호선2~3단계","종합운동장","5512","5504","20251204",""
"20251201","9호선2~3단계","삼전","9227","8742","20251204",""
"20251201","9호선2~3단계","석촌고분","8262","8126","20251204",""
"20251201","9호선2~3단계","석촌","10368","9431","20251204",""
"20251201","9호선2~3단계","송파나루","6248","6593","20251204",""
"20251201","9호선2~3단계","한성백제","3532","3191","20251204",""
"20251201","9호선2~3단계","올림픽공원(한국체대)","6978","7159","20251204",""
"20251201","9호선2~3단계","둔촌오륜","5246","5289","20251204",""
