순위,호선,역코드,역명,일평균승하차인원
1,2,216,잠실(2),156177
2,2,239,홍대입구,150369
3,2,222,강남,149757
4,2,232,구로디지털단지,106085
5,1,150,서울역(1),105634
6,2,230,신림,104459
7,2,219,삼성,102631
8,3,329,고속터미널(3),98434
9,2,234,신도림,98023
10,2,220,선릉,96542
11,2,221,역삼,95759
12,2,202,을지로입구,93824
13,2,211,성수,88059
14,2,228,서울대입구,87928
15,2,226,사당(2),84134
16,7,2748,가산디지털단지(7),76122
17,2,240,신촌,75866
18,2,212,건대입구(2),74632
19,1,152,종각,71821
20,4,420,혜화,71809
21,3,332,양재,71386
22,4,424,명동,70739
23,2,238,합정(2),66858
24,4,414,수유,65895
25,3,311,연신내(3),65169
26,5,2534,광화문,64721
27,2,223,교대(2),62447
28,3,326,압구정,61656
29,4,423,충무로(4),58686
30,3,331,남부터미널,57932
31,2,214,강변,57349
32,5,2527,여의도(5),55094
33,4,411,노원(4),54666
34,4,413,쌍문,54459
35,3,327,신사,54162
36,3,318,안국,53449
37,4,412,창동,53248
38,4,425,회현,53067
39,5,2518,화곡,52632
40,2,227,낙성대,52602
41,5,2519,까치산(5),52463
42,4,416,미아사거리,51313
43,3,317,경복궁,50519
44,1,151,시청(1),50070
45,4,433,사당(4),49128
46,1,153,종로3가(1),48819
47,2,210,뚝섬,48800
48,2,231,신대방,48326
49,2,233,대림(2),47785
50,2,201,시청(2),47685
51,2,213,구의,47080
52,2,203,을지로3가(2),46714
53,7,2715,노원(7),46136
54,2,217,잠실새내,46004
55,1,154,종로5가,45992
56,2,229,봉천,44817
57,1,158,청량리,44689
58,5,2516,발산,43692
59,2,235,문래,43307
60,7,2733,학동,43206
61,4,418,성신여대입구,42597
62,2,236,영등포구청(2),42412
63,3,310,구파발,41859
64,5,2522,오목교,41796
65,4,417,길음,41360
66,7,2749,철산,41257
67,2,224,서초,40773
68,8,2819,문정,40313
69,4,429,신용산,39851
70,4,432,이수(총신대입구),38999
71,7,2750,광명사거리,38975
72,4,421,동대문(4),38729
73,5,2548,천호(5),38045
74,8,2815,잠실(8),37721
75,2,237,당산,37222
76,3,339,수서,37107
77,5,2544,장한평,36957
78,5,2533,서대문,36621
79,4,410,상계,36379
80,7,2731,청담,36003
81,4,422,동대문역사문화공원(4),35773
82,6,2627,공덕(6),35416
83,5,2563,미사,35057
84,5,2549,강동,34946
85,7,2734,논현,34458
86,3,314,홍제,34273
87,6,2611,응암,34030
88,4,426,서울역(4),33959
89,7,2717,하계,33767
90,2,241,이대,33708
91,1,157,제기동,33677
92,3,312,불광(3),33573
93,7,2722,상봉(7),33222
94,8,2812,천호(8),33106
95,8,2811,암사,32695
96,2,205,동대문역사문화공원(2),32617
97,5,2521,목동,32572
98,2,225,방배,32001
99,6,2622,망원,31937
100,7,2736,고속터미널(7),31906
101,8,2820,장지,31719
