노선명,역명,승차_01월,하차_01월,sum_01,승차_02월,하차_02월,sum_02,승차_03월,하차_03월,sum_03,승차_04월,하차_04월,sum_04,승차_05월,하차_05월,sum_05,승차_06월,하차_06월,sum_06,승차_07월,하차_07월,sum_07,승차_08월,하차_08월,sum_08,승차_09월,하차_09월,sum_09,승차_10월,하차_10월,sum_10,승차_11월,하차_11월,sum_11,승차_12월,하차_12월,sum_12
1호선,동대문,10948,10648,21596,11636,11276,22912,12766,12552,25318,12886,12431,25317,12886,12431,25317,12429,12179,24608,11740,11363,23103,11500,11254,22754,12556,12192,24748,12785,12670,25455,13209,12876,26085,13040,12713,25753
1호선,동묘앞,9007,9214,18221,9960,10257,20217,11408,11786,23194,10980,11149,22129,10980,11149,22129,10724,10913,21637,9495,9537,19032,9849,9938,19787,10256,10479,20735,10471,10924,21395,11449,11773,23222,10050,10310,20360
1호선,서울역,60703,56771,117474,68940,63250,132190,71416,66273,137689,74162,69614,143776,74162,69614,143776,70790,66236,137026,71361,66800,138161,69325,65745,135070,74340,70700,145040,70234,67169,137403,78156,74401,152557,78211,74292,152503
1호선,시청,22505,22771,45276,25947,25928,51875,27220,27526,54746,26617,26858,53475,26617,26858,53475,24247,24538,48785,24264,24523,48787,23877,24008,47885,27521,27769,55290,25117,25265,50382,28425,28909,57334,28409,28470,56879
1호선,신설동,11980,11515,23495,13485,13061,26546,14214,13671,27885,14606,14009,28615,14606,14009,28615,13762,13272,27034,13771,13235,27006,12954,12442,25396,14564,14048,28612,13035,12523,25558,14411,13838,28249,14287,13741,28028
1호선,제기동,15681,16265,31946,16248,16619,32867,17050,17511,34561,17445,17803,35248,17445,17803,35248,16133,16541,32674,15329,15592,30921,14854,15206,30060,17041,17522,34563,15598,16053,31651,16718,17192,33910,16059,16426,32485
1호선,종각,33058,31890,64948,38217,37157,75374,39471,37256,76727,39161,37886,77047,39161,37886,77047,35141,34339,69480,37166,36514,73680,34982,34263,69245,38827,38224,77051,34573,33424,67997,38979,37768,76747,43719,41476,85195
1호선,종로3가,22414,20583,42997,25568,23225,48793,27617,24267,51884,27572,24585,52157,27572,24585,52157,25374,22739,48113,23840,21692,45532,23101,21018,44119,26121,23477,49598,25053,22568,47621,26935,24249,51184,27625,24664,52289
1호선,종로5가,20072,19540,39612,23045,22481,45526,24157,23499,47656,24270,23645,47915,24270,23645,47915,22746,22205,44951,22562,21994,44556,22122,21601,43723,24405,24004,48409,22502,21991,44493,24166,23795,47961,24370,23877,48247
1호선,청량리(서울시립대입구),20602,20452,41054,22274,21735,44009,23208,23025,46233,23378,23259,46637,23378,23259,46637,22295,22296,44591,21596,21552,43148,21750,21788,43538,24302,24370,48672,22270,22258,44528,24040,24147,48187,24053,23998,48051
2호선,강남,69476,68090,137566,80879,79284,160163,76055,74830,150885,78746,77791,156537,78746,77791,156537,73982,72497,146479,81801,79872,161673,75429,73324,148753,79767,78277,158044,69263,68202,137465,78197,77056,155253,82019,80540,162559
2호선,강변(동서울터미널),24848,23249,48097,27737,25568,53305,27450,25331,52781,28111,25879,53990,28111,25879,53990,26813,24859,51672,26964,24956,51920,26469,24782,51251,28157,25888,54045,26485,24690,51175,28624,26486,55110,28482,26102,54584
2호선,건대입구,32221,33910,66131,35736,37496,73232,38166,39527,77693,38268,39406,77674,38268,39406,77674,35681,37104,72785,35083,36875,71958,34391,36118,70509,38492,39634,78126,35747,36806,72553,39789,40836,80625,40474,42371,82845
