역명,passenger_sum_01,passenger_sum_02,passenger_sum_03,passenger_sum_04,passenger_sum_05,passenger_sum_06,passenger_sum_07,passenger_sum_08,passenger_sum_09,passenger_sum_10,passenger_sum_11,passenger_sum_12,all_passenger_sum
4.19민주묘지,5003,5585,7928,8431,8431,7098,5886,5659,8104,7073,7872,6712,83782
가락시장,31630,34724,34546,36024,36024,33357,33705,31282,35889,31869,36204,38127,413381
가산디지털단지,96747,115956,110758,120742,120742,108464,116828,101371,117020,98471,111464,112651,1331214
가양,37332,42494,42726,44697,44697,41783,42493,39479,44588,39633,43643,43308,506873
가오리,7285,8215,8475,8843,8843,8421,8516,7987,8887,7932,8632,8573,100609
가좌,9612,10945,11390,12110,12110,11176,11010,10297,12033,10874,11858,11634,135049
강남,172472,201455,189612,197005,193349,183725,203367,186366,198526,171626,193805,202933,2294241
강남구청,43391,52363,50597,53860,53860,48973,51843,47195,54430,46010,52557,53221,608300
강동,31405,36138,36085,37554,37554,34964,35645,33418,37130,32563,36552,37276,426284
강동구청,18220,20958,20755,21787,21787,20086,20573,18713,21157,18639,20836,21692,245203
강변(동서울터미널),48097,53305,52781,53990,53990,51672,51920,51251,54045,51175,55110,54584,631920
강일,9763,11190,11457,12073,12073,11193,11080,10227,11685,10558,11630,11741,134670
개롱,11267,13055,13381,14064,14064,12926,13121,12032,13598,11847,13049,13105,155509
개봉,36237,40977,42604,44649,44649,42226,42293,39595,44958,40924,44205,44205,507522
개포동,7412,8572,8788,9158,9158,8412,8564,8071,9061,8010,8792,8912,102910
개화,3574,4050,4262,4536,4536,4172,4196,3904,4465,3969,4291,4050,50005
개화산,10254,11217,11269,11799,11799,11224,11599,10845,12054,10875,11800,11936,136671
거여,16570,18916,19442,20463,20463,18847,19038,17436,20160,17741,19633,19922,228631
건대입구,89889,100054,107140,107102,107102,99943,99313,96210,107916,98636,109951,113538,1236794
경복궁(정부서울청사),42892,47639,61363,60253,60253,56410,48135,44607,53551,53530,61983,52740,643356
경찰병원,12488,14512,14055,14736,14736,13650,14461,13194,14868,12697,14232,14612,168241
고덕,16889,19701,20034,21489,21489,19551,19896,18235,20677,18192,20340,20692,237185
고려대(종암),13183,15610,18164,18898,18898,16603,15740,14408,18988,16434,18865,17459,203250
고속터미널,152553,165315,166378,167871,167871,168019,168136,168325,170037,165146,177372,182995,2020018
공덕,68898,78360,78419,83484,83484,75863,78785,72057,82169,70873,80048,81751,934191
공릉(서울과학기술대),20504,23063,25361,25679,25679,24307,22862,21452,25331,22436,25312,24772,286758
공항시장,5516,6195,6124,6310,6310,5805,5941,5554,5973,5354,5714,5778,70574
관악산(서울대),4710,5276,6738,7051,7051,6990,6599,6615,6928,6244,7080,5627,76909
광나루(장신대),19089,21267,22755,23909,23909,21944,20934,19719,23160,20706,23418,22156,262966
