역명,passenger_sum_01,passenger_sum_02,passenger_sum_03,passenger_sum_04,passenger_sum_05,passenger_sum_06,passenger_sum_07,passenger_sum_08,passenger_sum_09,passenger_sum_10,passenger_sum_11,passenger_sum_12,annual_total,daily_avg
4.19민주묘지,155093,156380,245768,252930,261361,212940,182466,175429,243120,219263,236160,208072,2548982,6984 
가락시장,980530,972272,1070926,1080720,1116744,1000710,1044855,969742,1076670,987939,1086120,1181937,12569165,34436 
가산디지털단지,2999157,3246768,3433498,3622260,3743002,3253920,3621668,3142501,3510600,3052601,3343920,3492181,40462076,110855 
가양,1157292,1189832,1324506,1340910,1385607,1253490,1317283,1223849,1337640,1228623,1309290,1342548,15410870,42222 
가오리,225835,230020,262725,265290,274133,252630,263996,247597,266610,245892,258960,265763,3059451,8382 
가좌,297972,306460,353090,363300,375410,335280,341310,319207,360990,337094,355740,360654,4106507,11251 
강남,5346632,5640740,5877972,5910150,5993819,5511750,6304377,5777346,5955780,5320406,5814150,6290923,69744045,191080 
강남구청,1345121,1466164,1568507,1615800,1669660,1469190,1607133,1463045,1632900,1426310,1576710,1649851,18490391,50659 
강동,973555,1011864,1118635,1126620,1164174,1048920,1104995,1035958,1113900,1009453,1096560,1155556,12960190,35507 
강동구청,564820,586824,643405,653610,675397,602580,637763,580103,634710,577809,625080,672452,7454553,20423 
강변(동서울터미널),1491007,1492540,1636211,1619700,1673690,1550160,1609520,1588781,1621350,1586425,1653300,1692104,19214788,52643 
강일,302653,313320,355167,362190,374263,335790,343480,317037,350550,327298,348900,363971,4094619,11218 
개롱,349277,365540,414811,421920,435984,387780,406751,372992,407940,367257,391470,406255,4727977,12953 
개봉,1123347,1147356,1320724,1339470,1384119,1266780,1311083,1227445,1348740,1268644,1326150,1370355,15434213,42286 
개포동,229772,240016,272428,274740,283898,252360,265484,250201,271830,248310,263760,276272,3129071,8573 
개화,110794,113400,132122,136080,140616,125160,130076,121024,133950,123039,128730,125550,1520541,4166 
개화산,317874,314076,349339,353970,365769,336720,359569,336195,361620,337125,354000,370016,4156273,11387 
거여,513670,529648,602702,613890,634353,565410,590178,540516,604800,549971,588990,617582,6951710,19046 
건대입구,2786559,2801512,3321340,3213060,3320162,2998290,3078703,2982510,3237480,3057716,3298530,3519678,37615540,103056 
경복궁(정부서울청사),1329652,1333892,1902253,1807590,1867843,1692300,1492185,1382817,1606530,1659430,1859490,1634940,19568922,53613 
경찰병원,387128,406336,435705,442080,456816,409500,448291,409014,446040,393607,426960,452972,5114449,14012 
고덕,523559,551628,621054,644670,666159,586530,616776,565285,620310,563952,610200,641452,7211575,19758 
고려대(종암),408673,437080,563084,566940,585838,498090,487940,446648,569640,509454,565950,541229,6180566,16933 
고속터미널,4729143,4628820,5157718,5036130,5204001,5040570,5212216,5218075,5101110,5119526,5321160,5672845,61441314,168332 
공덕,2135838,2194080,2430989,2504520,2588004,2275890,2442335,2233767,2465070,2197063,2401440,2534281,28403277,77817 
공릉(서울과학기술대),635624,645764,786191,770370,796049,729210,708722,665012,759930,695516,759360,767932,8719680,23890 
