역사명,호선1,호선2,호선3,호선4,호선5,총 호선
수서,수도권 광역급행철도,분당선,3호선,,,3
삼성,수도권 광역급행철도,,,,,1
서울,수도권 광역급행철도,,,,,1
연신내,수도권 광역급행철도,6호선,3호선,,,3
김포공항,김포골드라인,공항철도1호선,9호선,5호선,서해선,5
신설동,우이신설선,2호선,1호선,,,3
보문,우이신설선,6호선,,,,2
성신여대입구(돈암),우이신설선,4호선,,,,2
정릉,우이신설선,,,,,1
북한산보국문,우이신설선,,,,,1
솔샘,우이신설선,,,,,1
삼양사거리,우이신설선,,,,,1
삼양,우이신설선,,,,,1
화계,우이신설선,,,,,1
가오리,우이신설선,,,,,1
4.19민주묘지,우이신설선,,,,,1
솔밭공원,우이신설선,,,,,1
북한산우이,우이신설선,,,,,1
관악산(서울대),신림선,,,,,1
서울대벤처타운,신림선,,,,,1
서원,신림선,,,,,1
신림,신림선,2호선,,,,2
당곡,신림선,,,,,1
보라매병원,신림선,,,,,1
보라매공원,신림선,,,,,1
보라매,신림선,7호선,,,,2
서울지방병무청,신림선,,,,,1
대방,신림선,경부선,,,,2
샛강,신림선,9호선,,,,2
청계산입구,신분당선,,,,,1
양재시민의숲(매헌),신분당선,,,,,1
양재(서초구청),신분당선,3호선,,,,2
강남,신분당선,2호선,,,,2
신논현,신분당선,9호선,,,,2
논현,신분당선,7호선,,,,2
신사,신분당선,3호선,,,,2
마곡나루,공항철도1호선,9호선,,,,2
디지털미디어시티,공항철도1호선,6호선,경의중앙선,,,3
홍대입구,공항철도1호선,경의중앙선,2호선,,,3
공덕,공항철도1호선,6호선,5호선,경의중앙선,,4
서울역,공항철도1호선,경의중앙선,경부선,4호선,1호선,5
중앙보훈병원,9호선,,,,,1
둔촌오륜,9호선,,,,,1
올림픽공원(한국체대),9호선,5호선,,,,2
한성백제,9호선,,,,,1
송파나루,9호선,,,,,1
석촌,9호선,8호선,,,,2
석촌고분,9호선,,,,,1
삼전,9호선,,,,,1
종합운동장,9호선,2호선,,,,2
봉은사,9호선,,,,,1
삼성중앙,9호선,,,,,1
선정릉,9호선,분당선,,,,2
언주,9호선,,,,,1
사평,9호선,,,,,1
고속터미널,9호선,7호선,3호선,,,3
신반포,9호선,,,,,1
구반포,9호선,,,,,1
동작(현충원),9호선,4호선,,,,2
흑석(중앙대입구),9호선,,,,,1
노들,9호선,,,,,1
