역사명,호선1,호선2,호선3,호선4,호선5,총 호선
정릉,우이신설선,,,,,1
북한산보국문,우이신설선,,,,,1
솔샘,우이신설선,,,,,1
삼양사거리,우이신설선,,,,,1
삼양,우이신설선,,,,,1
화계,우이신설선,,,,,1
가오리,우이신설선,,,,,1
4.19민주묘지,우이신설선,,,,,1
솔밭공원,우이신설선,,,,,1
북한산우이,우이신설선,,,,,1
관악산(서울대),신림선,,,,,1
서울대벤처타운,신림선,,,,,1
서원,신림선,,,,,1
당곡,신림선,,,,,1
보라매병원,신림선,,,,,1
보라매공원,신림선,,,,,1
서울지방병무청,신림선,,,,,1
대방,신림선,경부선,,,,2
샛강,신림선,9호선,,,,2
청계산입구,신분당선,,,,,1
양재시민의숲(매헌),신분당선,,,,,1
신논현,신분당선,9호선,,,,2
마곡나루,공항철도1호선,9호선,,,,2
서울역,공항철도1호선,경의중앙선,경부선,4호선,1호선,5
사평,9호선,,,,,1
신반포,9호선,,,,,1
구반포,9호선,,,,,1
흑석(중앙대입구),9호선,,,,,1
노들,9호선,,,,,1
노량진,9호선,경부선,,,,2
국회의사당,9호선,,,,,1
선유도,9호선,,,,,1
신목동,9호선,,,,,1
염창,9호선,,,,,1
등촌,9호선,,,,,1
증미,9호선,,,,,1
가양,9호선,,,,,1
양천향교,9호선,,,,,1
신방화,9호선,,,,,1
공항시장,9호선,,,,,1
개화,9호선,,,,,1
춘의,7호선(인천),7호선,,,,2
부천종합운동장,7호선(인천),7호선,서해선,,,3
까치울,7호선(인천),7호선,,,,2
남위례,8호선,,,,,1
모란,8호선,분당선,,,,2
장자호수공원,별내선,,,,,1
구리,별내선,중앙선,,,,2
동구릉,별내선,,,,,1
다산,별내선,,,,,1
별내,별내선,경춘선,,,,2
광명사거리,7호선,,,,,1
철산,7호선,,,,,1
뚝섬유원지,7호선,,,,,1
원종,서해선,,,,,1
삼송,일산선,,,,,1
지축,일산선,3호선,,,,2
원흥,일산선,,,,,1
도봉,경원선,,,,,1
방학,경원선,,,,,1
태평,분당선,,,,,1
가천대,분당선,,,,,1
압구정로데오,분당선,,,,,1
서울숲,분당선,,,,,1
구일,경인선,,,,,1
역곡,경인선,,,,,1
오류동,경인선,,,,,1
개봉,경인선,,,,,1
독산,경부선,,,,,1
석수,경부선,,,,,1
금천구청,경부선,,,,,1
구로,경부선,,,,,1
정부과천청사,과천선,,,,,1
과천,과천선,,,,,1
대공원,과천선,,,,,1
경마공원,과천선,,,,,1
선바위,과천선,,,,,1
퇴계원,경춘선,,,,,1
갈매,경춘선,,,,,1
행신,경의중앙선,,,,,1
강매,경의중앙선,,,,,1
화전,경의중앙선,,,,,1
수색,경의중앙선,,,,,1
가좌,경의중앙선,,,,,1
서강대,경의중앙선,,,,,1
도농,중앙선,,,,,1
양원,중앙선,,,,,1
망우,중앙선,,,,,1
중랑,중앙선,,,,,1
대모산입구,분당선,,,,,1
개포동,분당선,,,,,1
구룡,분당선,,,,,1
한티,분당선,,,,,1
녹천,경원선,,,,,1
월계,경원선,,,,,1
광운대,경원선,,,,,1
신이문,경원선,,,,,1
외대앞,경원선,,,,,1
회기,중앙선,,,,,1
응봉,경원선,,,,,1
한남,경원선,,,,,1
서빙고,경원선,,,,,1
영등포,경부선,,,,,1
용산,경부선,,,,,1
남영,경부선,,,,,1
총신대입구(이수),4호선,,,,,1
