역사명,호선,공원수,공원면적합산(㎡),도시자연공원수,공원목록,한강공원수,한강공원면적합산(㎡),한강공원목록
수서,수도권 광역급행철도,2,151534,0,"숯내, 탄천",0,0,없음
서울역,수도권 광역급행철도,3,45593,1,"남산, 서소문역사공원, 손기정체육공원",0,0,없음
연신내,수도권 광역급행철도,1,72316,0,불광<시공원>,0,0,없음
김포공항,김포골드라인,0,0,0,없음,0,0,없음
신설동,우이신설선,2,51061,0,"동묘, 숭인",0,0,없음
보문,우이신설선,4,16753,0,"(낙산, 개운산<시공원>, 낙산, 숭인",0,0,없음
성신여대입구(돈암),우이신설선,2,62097,0,"개운산<시공원>, 성북<시공원>",0,0,없음
정릉,우이신설선,2,17350,1,"(북한산, 성북<시공원>",0,0,없음
북한산보국문,우이신설선,1,0,1,(북한산,0,0,없음
솔샘,우이신설선,1,0,1,(북한산,0,0,없음
삼양사거리,우이신설선,1,0,1,(북한산,0,0,없음
삼양,우이신설선,1,0,1,(북한산,0,0,없음
화계,우이신설선,1,0,1,(북한산,0,0,없음
가오리,우이신설선,0,0,0,없음,0,0,없음
4.19민주묘지,우이신설선,3,51719,1,"(북한산, 솔밭, 쌍문<시공원>",0,0,없음
솔밭공원,우이신설선,2,112900,0,"솔밭, 쌍문<시공원>",0,0,없음
북한산우이,우이신설선,0,0,0,없음,0,0,없음
관악산(서울대),신림선,1,0,1,관악산<시공원>,0,0,없음
서울대벤처타운,신림선,2,4294,1,"관악산<시공원>, 장군봉<시공원>",0,0,없음
서원,신림선,2,129678,1,"관악산<시공원>, 장군봉<시공원>",0,0,없음
신림,신림선,2,72520,1,"관악산<시공원>, 장군봉<시공원>",0,0,없음
당곡,신림선,2,221569,0,"보라매, 상도<시공원>",0,0,없음
보라매병원,신림선,1,391191,0,보라매,0,0,없음
보라매공원,신림선,1,439077,0,보라매,0,0,없음
보라매,신림선,3,214682,0,"노량진<시공원>, 메낙골, 보라매",0,0,없음
서울지방병무청,신림선,2,241918,0,"노량진<시공원>, 메낙골",0,0,없음
