역사명,호선,환승역수,공원수,공원면적합산(㎡),도시자연공원수,한강공원수,위도,경도
수서,수도권 광역급행철도,3,2,630145,0,0,37.48637,127.10161
서울역,수도권 광역급행철도,6,3,46706,1,0,37.553247,126.969769
연신내,수도권 광역급행철도,3,1,130345,0,0,37.61878,126.9213
김포공항,김포골드라인,5,0,0,0,0,37.56236,126.801868
신설동,우이신설선,3,2,54019,0,0,37.576095,127.023242
보문,우이신설선,2,4,579153,0,0,37.585286,127.019381
성신여대입구(돈암),우이신설선,2,2,435685,0,0,37.592467,127.016516
정릉,우이신설선,1,2,137759,1,0,37.603133,127.013396
북한산보국문,우이신설선,1,1,0,1,0,37.612072,127.008251
솔샘,우이신설선,1,1,0,1,0,37.620238,127.013626
삼양사거리,우이신설선,1,1,0,1,0,37.621337,127.020473
삼양,우이신설선,1,1,0,1,0,37.626914,127.018106
화계,우이신설선,1,1,0,1,0,37.634133,127.017511
가오리,우이신설선,1,0,0,0,0,37.641537,127.016789
4.19민주묘지,우이신설선,1,3,362973,1,0,37.649502,127.013684
솔밭공원,우이신설선,1,2,362973,0,0,37.65603,127.013273
북한산우이,우이신설선,1,0,0,0,0,37.662909,127.012706
관악산(서울대),신림선,1,1,0,1,0,37.4691018,126.9450639
서울대벤처타운,신림선,1,2,129678,1,0,37.4720019,126.9339351
서원,신림선,1,2,129678,1,0,37.4782341,126.9330365
신림,신림선,2,2,129678,1,0,37.4849266,126.9296159
당곡,신림선,1,2,766048,0,0,37.4902998,126.9275133
보라매병원,신림선,1,1,406705,0,0,37.4929598,126.9234964
보라매공원,신림선,1,1,406705,0,0,37.4955691,126.9180827
보라매,신림선,2,3,885622,0,0,37.5002739,126.9204355
서울지방병무청,신림선,1,2,478917,0,0,37.5060464,126.9227083
대방,신림선,2,2,432110,0,0,37.5133059,126.9257265
샛강,신림선,2,2,432110,0,0,37.5170969,126.929399
청계산입구,신분당선,1,2,0,2,0,37.447211,127.055664
양재시민의숲(매헌),신분당선,1,6,495882,1,0,37.470023,127.03842
양재(서초구청),신분당선,2,2,254648,1,0,37.483809,127.034653
강남,신분당선,2,2,40255,0,0,37.496837,127.028104
신논현,신분당선(연장2),2,2,40255,0,0,37.504598,127.02506
논현,신분당선(연장2),2,2,36576,0,0,37.511093,127.021415
신사,신분당선(연장2),2,3,42675,0,0,37.516334,127.020114
김포공항,공항철도1호선,5,0,0,0,0,37.561842,126.801904
마곡나루,공항철도1호선,2,1,505351,0,0,37.565543,126.827378
디지털미디어시티,공항철도1호선,3,2,140022,1,0,37.576958,126.898609
홍대입구,공항철도1호선,3,1,87432,0,0,37.557438,126.926715
공덕,공항철도1호선,4,1,171277,0,0,37.54253,126.952024
서울역,공항철도1호선,6,3,46706,1,0,37.553247,126.969769
중앙보훈병원,9호선(연장),1,1,0,1,0,37.529191,127.148739
둔촌오륜,9호선(연장),1,2,1593122,0,0,37.519683,127.137989
올림픽공원(한국체대),9호선(연장),2,2,1593122,0,0,37.516269,127.130288
한성백제,9호선(연장),1,2,1520400,0,0,37.516404,127.116503
송파나루,9호선(연장),1,6,1864683,0,0,37.510372,127.112216
석촌,9호선(연장),2,4,358864,0,0,37.505208,127.10704
석촌고분,9호선(연장),1,4,973274,0,0,37.502558,127.097033
삼전,9호선(연장),1,3,633203,0,0,37.504738,127.088025
종합운동장,9호선(연장),2,2,685924,0,1,37.511426,127.076275
봉은사,9호선(연장),1,2,947914,0,0,37.514219,127.060245
삼성중앙,9호선(연장),1,3,627958,0,0,37.513011,127.053282
선정릉,9호선(연장),2,1,240593,0,0,37.510297,127.043999
언주,9호선(연장),1,1,33250,0,0,37.507287,127.033868
신논현,9호선,2,2,40255,0,0,37.504598,127.02506
사평,9호선,1,2,678585,0,0,37.504206,127.015259
고속터미널,9호선,3,1,671580,0,1,37.50598,127.004403
신반포,9호선,1,2,697874,0,1,37.503415,126.995925
구반포,9호선,1,2,68250,0,1,37.501364,126.987332
동작(현충원),9호선,2,1,41956,0,1,37.502878,126.978153
흑석(중앙대입구),9호선,1,2,484696,0,0,37.50877,126.963708
노들,9호선,1,4,570844,0,0,37.512887,126.953222
노량진,9호선,2,2,463574,0,1,37.513534,126.941005
샛강,9호선,2,2,432110,0,0,37.517274,126.928422
여의도,9호선,2,2,246039,0,0,37.52176,126.92403
국회의사당,9호선,1,1,229539,0,1,37.528105,126.917874
당산,9호선,2,0,0,0,2,37.533406,126.902809
선유도,9호선,1,2,122918,0,1,37.53802,126.893525
신목동,9호선,1,4,250077,0,1,37.544277,126.88308
염창,9호선,1,3,237566,0,0,37.546936,126.874916
등촌,9호선,1,2,1029260,0,0,37.550632,126.865689
증미,9호선,1,2,134105,0,0,37.557402,126.861939
가양,9호선,1,4,87902,0,0,37.561391,126.854456
양천향교,9호선,1,5,705982,0,0,37.568381,126.841333
마곡나루,9호선,2,2,525466,0,0,37.566778,126.82731
신방화,9호선,1,1,9723,0,0,37.567532,126.816601
공항시장,9호선,1,0,0,0,0,37.563726,126.810678
김포공항,9호선,5,0,0,0,0,37.561916,126.802152
개화,9호선,1,0,0,0,0,37.578608,126.798153
복정,8호선,1,2,777431,0,0,37.471052,127.126732
장지,8호선,1,4,1272795,0,0,37.478703,127.126191
문정,8호선,1,4,698518,0,0,37.485855,127.1225
가락시장,8호선,2,4,59459,0,0,37.492888,127.118398
송파,8호선,1,3,23357,0,0,37.499703,127.112183
석촌,8호선,2,4,358864,0,0,37.505557,127.106832
잠실(송파구청),8호선,2,4,328076,0,0,37.514692,127.104338
몽촌토성(평화의문),8호선,1,3,1822181,0,0,37.517409,127.112359
강동구청,8호선,1,4,1564231,0,0,37.530341,127.120508
천호(풍납토성),8호선,2,2,61899,0,1,37.538113,127.123254
암사,8호선,1,1,26697,0,1,37.55021,127.127562
암사역사공원,8호선,1,1,11467,0,0,37.55695,127.13702
온수(성공회대입구),7호선,2,1,200956,0,0,37.492092,126.823023
천왕,7호선,1,0,0,0,0,37.486637,126.838713
가산디지털단지,7호선,2,1,195350,0,0,37.480338,126.882656
남구로,7호선,1,0,0,0,0,37.486056,126.887249
대림(구로구청),7호선,2,2,24587,0,0,37.493013,126.897075
신풍,7호선,1,3,491529,0,0,37.50008,126.90993
보라매,7호선,2,3,885622,0,0,37.499872,126.920428
신대방삼거리,7호선,1,2,822315,0,0,37.499701,126.928276
장승배기,7호선,1,1,415610,0,0,37.504898,126.93915
상도,7호선,1,2,774953,0,0,37.502834,126.94791
숭실대입구(살피재),7호선,1,1,359343,0,0,37.496029,126.953822
남성,7호선,1,3,450058,0,0,37.484596,126.971251
이수,7호선,1,1,28785,0,0,37.485196,126.981605
내방,7호선,1,1,671580,0,0,37.487618,126.993513
고속터미널,7호선,3,1,671580,0,0,37.503367,127.005068
반포,7호선,1,2,678272,0,0,37.508178,127.011727
논현,7호선,2,2,36576,0,0,37.511093,127.021415
학동,7호선,1,1,29884,0,0,37.514229,127.031656
강남구청,7호선,2,0,0,0,0,37.517179,127.041255
청담,7호선,1,3,399038,0,0,37.519365,127.05335
뚝섬유원지,7호선,1,0,0,0,1,37.53154,127.066704
건대입구,7호선,2,1,6999,0,0,37.540786,127.071011
어린이대공원(세종대),7호선,1,2,543093,0,0,37.548014,127.074658
군자(능동),7호선,2,3,1118924,0,0,37.556897,127.079338
중곡,7호선,1,3,133123,1,0,37.565923,127.08432
용마산,7호선,1,4,278908,1,0,37.573647,127.086727
사가정,7호선,1,2,83013,1,0,37.580894,127.088478
면목,7호선,1,0,0,0,0,37.588579,127.087503
상봉(시외버스터미널),7호선,2,0,0,0,0,37.595577,127.085716
중화,7호선,1,1,1018689,0,0,37.602545,127.079264
먹골,7호선,1,2,1551409,0,0,37.610637,127.077725
태릉입구,7호선,2,3,1571652,0,0,37.618294,127.075397
공릉(서울과학기술대),7호선,1,1,20243,0,0,37.625742,127.072896
하계,7호선,1,3,56069,0,0,37.636352,127.06799
중계,7호선,1,10,290085,0,0,37.644583,127.064303
노원,7호선,2,4,72381,0,0,37.654836,127.060462
마들,7호선,1,5,68106,1,0,37.66494,127.057675
수락산,7호선,1,2,13144,1,0,37.67785,127.055315
도봉산,7호선,2,1,51470,0,0,37.689241,127.046509
신내,6호선,2,1,1018689,0,0,37.613174,127.102231
봉화산(서울의료원),6호선,1,3,1065267,0,0,37.617283,127.091401
화랑대(서울여대입구),6호선,1,3,1065267,0,0,37.620064,127.084689
태릉입구,6호선,2,3,1571652,0,0,37.617338,127.074735
석계,6호선,2,2,552963,0,0,37.614872,127.065595
돌곶이,6호선,1,1,762642,0,0,37.610537,127.056431
상월곡(한국과학기술연구원),6호선,1,2,1021117,0,0,37.606377,127.048491
월곡(동덕여대),6호선,1,3,1177753,0,0,37.601948,127.041518
고려대(종암),6호선,1,3,547986,0,0,37.590508,127.036296
안암(고대병원앞),6호선,1,1,297926,0,0,37.586272,127.029005
보문,6호선,2,4,579153,0,0,37.585274,127.019351
창신,6호선,1,4,289631,0,0,37.579661,127.015241
동묘앞,6호선,2,3,255798,0,0,37.572279,127.015653
신당,6호선,2,1,8404,0,0,37.566154,127.016146
청구,6호선,2,2,96582,1,0,37.560608,127.013986
