역사명,월평균승하차,환승역수,공원수,공원면적합산(㎡),도시자연공원수,한강공원수,한강공원면적합산(㎡)
4.19민주묘지,6981.83,1,3,51719,1,0,0
가락시장,34448.42,2,4,44833,0,0,0
가산디지털단지,110934.5,2,1,45431,0,0,0
가양,42239.42,1,4,45672,0,0,0
가오리,8384.08,1,0,0,0,0,0
가좌,11254.08,1,2,85099,0,0,0
강남,191186.75,2,2,40255,0,0,0
강남구청,50691.67,2,0,0,0,0,0
강동,35523.67,1,1,447,0,0,0
강동구청,20433.58,1,4,183234,0,0,0
강변(동서울터미널),52660,1,1,10427,0,0,0
강일,11222.5,1,1,35098,0,0,0
개롱,12959.08,1,9,408278,0,0,0
개봉,42293.5,1,0,0,0,0,0
개포동,8575.83,1,10,323109,0,0,0
개화,4167.08,1,0,0,0,0,0
개화산,11389.25,1,1,2849,0,0,0
거여,19052.58,1,5,435610,0,0,0
건대입구,103066.17,2,1,2225,0,0,0
경복궁(정부서울청사),53613,1,7,534890,1,0,0
경찰병원,14020.08,1,7,99348,0,0,0
고덕,19765.42,1,9,479210,0,0,0
고려대(종암),16937.5,1,3,132818,0,0,0
고속터미널,168334.83,3,1,31874,0,1,55311
공덕,77849.25,4,1,62658,0,0,0
공릉(서울과학기술대),23896.5,1,1,20243,0,0,0
공항시장,5881.17,1,0,0,0,0,0
관악산(서울대),6409.08,1,1,0,1,0,0
광나루(장신대),21913.83,1,0,0,0,0,0
광운대,16132.08,1,1,18763,0,0,0
광화문(세종문화회관),67158.42,1,7,295490,0,0,0
광흥창(서강),18074.25,1,1,91578,0,0,0
교대(법원.검찰청),87361.17,2,1,92182,0,0,0
구로,33752.25,1,0,0,0,0,0
구로디지털단지,107394.75,1,0,0,0,0,0
구룡,6694.92,1,10,280088,0,0,0
구반포,3406.08,1,2,38035,0,1,87204
구산,14121.83,1,0,0,0,0,0
구의(광진구청),50265.33,1,1,8818,0,0,0
구일,16344.33,1,0,0,0,0,0
구파발,41954.92,1,0,0,0,0,0
국회의사당,33113.17,1,1,201694,0,1,177749
