id,name,athlete_count,effort_count,distance_km,avg_grade,city,start_lat,start_lng,end_lat,end_lng
5495292,Segment,44684,104055,0.49,8.2,South Korea,37.56847,126.99215,37.568275,126.986678
16697641,Chilly Hamnida,39125,91368,1.06,0.3,Seoul,37.569475,127.00456,37.56822,126.992816
5408002,반포대교 (북쪽),29595,170222,0.69,0.0,South Korea,37.512577,126.99738,37.518403,126.994545
15266531,Cheonggae Plaza to Cheonggae 3-ga,27458,54424,1.23,-3.8,Seoul,37.569107,126.979088,37.568439,126.992393
7355420,Riverside to Hannam,23134,99267,0.81,0.2,South Korea,37.51935,127.008675,37.524756,127.014864
27160996,[TOF] 남산 순환로 업힐1km (by JK) ,22756,208155,1.0,2.7,Jung-gu,37.553473,126.997498,37.551503,126.997558
19011008,Hannam Triangle to Bogwang Tunnel,21583,132453,0.51,1.3,Yongsan-gu,37.527926,127.006891,37.52482,127.002855
19010968,Bogwang Tunnel to Jamsu Bridge,21328,121177,1.0,-1.2,Yongsan-gu,37.524404,127.002702,37.518948,126.994525
16391228,Forest to Seongsu,20075,120340,0.51,0.4,Seoul,37.537899,127.041367,37.539824,127.035995
27261839,잠달(성수대교 언덕훈련) 성수->한남방향(오르막시작 즈음 왼쪽 파란색 한강 이정표->정점 바닥 초록색매트),19992,101892,0.23,2.0,Gangnam-gu,37.533964,127.032225,37.53458,127.029841
25680364,Über die Brücke,19508,105247,0.2,0.0,Seongdong-gu,37.545833,127.03008,37.544677,127.031677
7455930,[휴레] 남산TR Part 2,19041,145066,3.09,0.6,South Korea,37.55498,126.98401,37.550949,126.997625
13422108,Banpo to Hannam 1Mile,18651,96044,1.62,0.0,Seoul,37.519703,126.994868,37.528922,127.008241
5408106,63 Building > 한강철교 ,16831,72536,0.98,-0.7,South Korea,37.52034,126.941338,37.517091,126.949153
8231184,올팍 장미공원까지 스프린트 ,15573,45037,0.23,-0.6,Seoul,37.51541,127.130098,37.513246,127.128998
27762750,[반미런]영동TO성수,15535,67780,1.99,0.1,Gangnam-gu,37.527,127.055377,37.533383,127.034579
27728091,Bridge to Bridge Northside,15414,86302,0.81,0.0,Seongdong-gu,37.553475,127.044198,37.550652,127.03591
20766366,새벽강변마라톤 -- 5km Route.,15394,59219,2.3,-0.6,Yeongdeungpo-gu,37.528698,126.931727,37.533402,126.909678
19042602,염강나들목~안합,15267,63600,1.46,-0.1,Gangseo-gu,37.562122,126.865537,37.553823,126.87807
17567260,lululemon - Han River,14823,68623,2.0,-0.3,Seoul,37.520116,127.093886,37.519635,127.071912
12333537,Memory Gongs,14682,65171,0.12,9.9,Seoul,37.503671,127.069559,37.504296,127.068669
22955868,TRB - 성내천 올림픽대교남단,14472,69628,1.02,-0.3,Songpa-gu,37.524916,127.102456,37.532175,127.108826
13069367,양화대교(남->북),13441,21843,1.0,-1.2,Seoul,37.539466,126.900762,37.546336,126.907938
17194605,Wonhyo2Mapo,13195,59337,1.19,-0.2,Seoul,37.530354,126.951454,37.53672,126.942009
11845336,Yanghwagyo - Han,12827,74876,0.62,-0.7,Seoul,37.548206,126.881084,37.553144,126.878001
6471711,여의도공원 산책로 트랙,12016,204389,2.51,0.0,South Korea,37.524679,126.921424,37.524584,126.921311
16715116,한강철교 → 한강대교,11457,54519,0.52,-1.9,,37.523248,126.955949,37.52068,126.960827
1980921,서린동 82 4 Climb,11265,28060,0.82,5.0,서울특별시,37.56847556683939,126.98589750577416,37.56902969445807,126.97867280815446
