segment_id,순위,이름,이용자수,누적기록,거리_km,경사,시작_위도,시작_경도,끝_위도,끝_경도,경로
16697641,1,Chilly Hamnida,39126,91369,1.06,0.3,37.569475,127.00456,37.56822,126.992816,kcmcFcxieWh@[DF^@NLL?JKVERAHNLBNGNONB`AAVOVCNMVJFKHE^o@@MCg@Jq@BEh@Q`AKHKRi@FeBE[EC?SQm@?YDEN_ATc@HGDUAOBQCGMCOIDOHKPG@BP?JFLN`@JTYDOJBLTTh@N?HJNB^CNOXOD@ZK@CTGLKH??VHVZ?t@Md@YTn@NPPB?SIOE_@A@IW@GCGCABMGG?UMC@OQKDKQBIAQI?c@IQ
5408002,2,반포대교 (북쪽),29595,170223,0.69,0.0,37.512577,126.99738,37.518403,126.994545,oqmcFehkeWPr@`@x@@X?VEr@OR]TMLGT?h@FRZ^n@f@VVh@pALp@`@x@LJpAVf@V~@Nd@Nj@DfAPH?TMNQZo@PGVFz@j@bAJf@RNNDXCp@DVNTR@TIf@m@
15266531,3,Cheonggae Plaza to Cheonggae 3-ga,27459,54425,1.23,-3.8,37.569107,126.979088,37.568439,126.992393,_blcFiujeW?JNXHBBFF?FDNT@TFFCVAZFHDZF@FP@PBBEF_@w@ICQDUPYBKH[JKKEMKEMBIFKBU?YDCDYFMNUBOAGOCCIASc@KIG@IHc@Tu@OGEMMWACPZ^AJKP?HMFQv@Q`@?VET?DDHDNBb@Fb@Gj@FXGT?^IVGHKDu@F[HCHE`@EFAf@AJKXCNMVOJCFQDMKO?g@VKAQBMCc@HOHYIKKICMBq@\SAIBYCCIG?OGON
9197751,4,6 Bridge south,26160,39690,0.62,0.9,37.546285,126.907392,37.542437,126.902593,{skcF_lleWnCbAz@f@|@b@vBx@b@Zb@Tz@Zh@LlBdAh@JtAd@jBXPFPNLPDTBX@t@I~ACdA@~ACzBBn@Er@FdCGp@
6952033,5,Loop Namsam park north side,22806,207549,2.01,-1.4,37.55527,126.988062,37.555561,127.000257,k|ncFczteWm@Sc@UaBoCOw@G_AMo@o@}Ai@_Bk@cAK]g@mAuAkCm@}AMk@Ug@EUUe@Ci@Am@@G\?`@XXZp@h@Vf@TVPPPDRA\WZ@Xr@T\LJPHx@Jd@APQXk@Ng@V_@n@Un@c@DQEm@CaDIk@EsAM_BSe@gAeBOa@@m@R}@Hq@J[Bo@[XG^q@pB?PLdA?l@O?ACSs@Gm@Fo@TcADkAIg@Gk@^aD`@_BNMb@LZR^PLEVWVc@CaBBKR_@d@A`AJr@^fB~B?W_@{@@q@UuAG}AUi@WWMIc@Me@A}@aAe@SmANq@?g@Ec@Oq@a@J_@l@ANKBeBPk@BGLGd@EJSV{A@eBRc@RHJbANn@XMJm@Zs@^QX\En@GTEl@`@r@SMQU@g@Ha@Jk@AM?EOYMAQLUf@WzAWUa@uAOMGb@Dh@QjBSf@e@HIFSh@GxAYZg@AS^ZZj@Vb@Jd@B^Ap@KV@h@R^V`@Tf@F\Vb@NXd@D~ARhAEn@@Z\z@Hn@a@M_@WSg@[a@c@S[_@a@Ge@EULOh@DNBn@ETOPa@\e@Dm@a@_@?]d@Oh@SbBS`ABj@Jh@Cp@MfAUf@CV@H`@`BXFS{A?Ql@mCJ[X?Ql@En@Mr@CZJ^v@jAj@|@Lf@DpCNnBCj@?rAHj@Yb@yA|@i@rAMT]VaBAWGEEMSOg@Ya@_A`@c@I]_@g@aAg@[_AkAa@BEj@FNZ^FLbAtAd@dARn@Z`@BLXd@Xr@Ph@d@~@`@rA^x@p@rB@r@Ft@Rh@t@z@Rb@L`@Td@f@T
27160996,6,[TOF] 남산 순환로 업힐1km (by JK) ,22756,208155,1.0,2.7,37.553473,126.997498,37.551503,126.997558,_ujcFc_neWa@]g@WYKm@GIGQIi@g@e@]g@KI?k@V[T]t@Kb@Hr@HR\Xh@^h@Vh@JZLZHh@f@l@JH@PGB[|@{C@M
19010968,7,Bogwang Tunnel to Jamsu Bridge,21328,121177,1.0,-1.2,37.524404,127.002702,37.518948,126.994525,mjncF}xpeWIs@B}ABs@RqCKq@Em@Do@?s@Hq@^_BCSCmASQMUSWg@Cc@KWM[CKDg@@_@KOBY[M_@JWFi@Di@Og@?[OiAIU?U]k@
16391228,8,Forest to Seongsu,20075,120340,0.51,0.4,37.537899,127.041367,37.539824,127.035995,ucjcFwsteWDGDYTYBUE]BQDECIBIDGH?POF@JCF@BGFCBYQCGG?MIG@WEE?EKQDm@Je@?OBIAGDGJi@EQBU@CFAFBN?BBFKVIDE@GK[DQ
27261839,9,잠달(성수대교 언덕훈련) 성수->한남방향(오르막시작 즈음 왼쪽 파란색 한강 이정표->정점 바닥 초록색매트),19992,101892,0.23,2.0,37.533964,127.032225,37.53458,127.029841,k|lcFs}teWGM@C?CGC?EMMWDa@]_@GUDg@A_@WOYMOMa@UIBOCSa@i@MEAGGEMDQ?ISCAEBGEGBIIOCGOGGESABEAKJKK?KWIG?QIAIKGA@GCM@AK[MAIMC?GEE@CD?CGDIDC@O
25680364,10,Über die Brücke,19508,105247,0.2,0.0,37.545833,127.03008,37.544677,127.031677,oqlcFypreWk@\E@EE@Fn@p@_APe@TED@ZI?GDW@EA?EEAABCGOMA?OFCXGAGZIJQCEDANGN?JQ\EDAVCLS\Gb@E@ATQPGNIDE?i@OMHK?
