segment_id,출처,이름_도경,이름_동관,이름_진숙,이름_수진,이용자수_도경,누적기록_도경,거리km_도경,경사_도경,도시_도경,이용자수_동관,누적기록_동관,거리km_동관,경사_동관,이용자수_진숙,누적기록_진숙,경사_진숙,거리km_진숙,이용자수_수진,누적기록_수진,거리km_수진,경사_수진,시작_위도,시작_경도,끝_위도,끝_경도
876205,도경+수진 파일에 존재,광장동 381 22 Climb,,,광장동 381 22 Climb,132.0,432.0,0.91,5.3,서울특별시,,,,,,,,,132.0,432.0,0.91,5.3,37.54287446208754,127.0942938066124,37.54896534433953,127.09871323305929
917413,도경+동관+수진 파일에 존재,용산동2가 산1 3 Climb,용산동2가 산1 3 Climb,,용산동2가 산1 3 Climb,5023.0,14936.0,1.09,11.7,서울특별시,5022.0,14933.0,1.09,11.7,,,,,5026.0,14943.0,1.09,11.7,37.5522804,126.982212,37.5510265,126.9892332
1093002,동관 파일에만 존재,,시흥2동 266 2487 Climb,,,,,,,,160.0,653.0,1.19,10.5,,,,,,,,,37.4593827,126.9141238,37.4545854,126.9231968
1237484,네 파일 모두 존재,Seoul Korea Park Run,Seoul Korea Park Run,Seoul Korea Park Run,Seoul Korea Park Run,916.0,7142.0,1.99,0.0,서울특별시,916.0,7142.0,1.99,0.0,,,0.0,1.992,917.0,7150.0,1.99,0.0,37.5111568,127.0501283,37.5111724,127.050058
1448526,네 파일 모두 존재,서초1동 1185 Climb,서초1동 1185 Climb,서초1동 1185 Climb,서초1동 1185 Climb,166.0,1083.0,1.04,12.6,서울특별시,166.0,1083.0,1.04,12.6,,,12.6,1.04,166.0,1083.0,1.04,12.6,37.48249815311283,127.0204734429717,37.47585264500231,127.01678783632816
1454505,네 파일 모두 존재,정릉4동 산1 59 Climb,정릉4동 산1 59 Climb,정릉4동 산1 59 Climb,정릉4동 산1 59 Climb,1802.0,3195.0,0.9,12.1,서울특별시,1802.0,3194.0,0.9,12.1,,,12.1,0.902,1802.0,3195.0,0.902369,12.1,37.61714466666666,127.00224495,37.61644073333333,126.99525691666668
1454506,네 파일 모두 존재,정릉3동 산1 278 Climb,정릉3동 산1 278 Climb,정릉3동 산1 278 Climb,정릉3동 산1 278 Climb,1807.0,3291.0,0.94,13.4,서울특별시,1807.0,3290.0,0.94,13.4,,,13.4,0.935,1807.0,3291.0,0.935225,13.4,37.61512618333333,126.99275266666668,37.61433513333333,126.9852246
1454507,네 파일 모두 존재,평창동 404 Climb,평창동 404 Climb,평창동 404 Climb,평창동 404 Climb,1271.0,2203.0,0.81,6.4,서울특별시,1271.0,2202.0,0.81,6.4,,,6.4,0.806,1271.0,2203.0,0.8057110000000001,6.4,37.61446431666667,126.97956836666664,37.61732928333333,126.97507871666666
1454508,도경+수진 파일에 존재,구기동 77 1 Climb,,,구기동 77 1 Climb,1225.0,2047.0,0.47,13.9,서울특별시,,,,,,,,,1225.0,2047.0,0.467018,13.9,37.61348976666667,126.96801875,37.61411558333333,126.96445508333332
1510863,네 파일 모두 존재,반포4동 49 6 Climb,반포4동 49 6 Climb,반포4동 49 6 Climb,반포4동 49 6 Climb,586.0,1576.0,0.84,6.2,서울특별시,586.0,1575.0,0.84,6.2,,,6.2,0.845,586.0,1577.0,0.84,6.2,37.50352080449229,127.0059354511341,37.49721912204986,127.00763119396474
1510864,네 파일 모두 존재,방배4동 산17 3 Climb,방배4동 산17 3 Climb,방배4동 산17 3 Climb,방배4동 산17 3 Climb,854.0,3020.0,0.34,13.9,서울특별시,853.0,3017.0,0.34,13.9,,,13.9,0.34,854.0,3020.0,0.34,13.9,37.4940205877996,127.00313832622672,37.49249596152221,127.00042619381752
1577719,동관 파일에만 존재,,장암동 산160 Climb,,,,,,,,125.0,211.0,3.6,15.3,,,,,,,,,37.68248947355121,127.05562341687428,37.69798283373884,127.08125550557332
1592983,네 파일 모두 존재,회현동1가 205 2 Climb,회현동1가 205 2 Climb,회현동1가 205 2 Climb,회현동1가 205 2 Climb,426.0,1217.0,0.8,6.8,서울특별시,426.0,1217.0,0.8,6.8,,,6.8,0.798,427.0,1217.0,0.8,6.8,37.55860085,126.97684597,37.55535743,126.9814893
1592984,동관 파일에만 존재,,신당6동 41 44 Climb,,,,,,,,58.0,195.0,0.7,7.9,,,,,,,,,37.55952005,127.01441626,37.55740106,127.01865935
1620965,동관 파일에만 존재,,홍은1동 산1 70 Climb,,,,,,,,1159.0,1960.0,0.68,12.0,,,,,,,,,37.60833233333334,126.95720423333331,37.60901666666667,126.95209486666666
1620966,네 파일 모두 존재,진관동 158 28 Climb,진관동 158 28 Climb,진관동 158 28 Climb,진관동 158 28 Climb,2442.0,5233.0,0.49,9.3,서울특별시,2442.0,5232.0,0.49,9.3,,,9.3,0.492,2443.0,5234.0,0.4915509999999999,9.3,37.6229472,126.93267983333332,37.626521200000006,126.93241496666666
1620967,도경+진숙+수진 파일에 존재,진관동 산172 Climb,,진관동 산172 Climb,진관동 산172 Climb,2266.0,4906.0,0.69,10.0,서울특별시,,,,,2266.0,4905.0,10.0,0.689,2266.0,4906.0,0.689408,10.0,37.630568700000005,126.933519,37.6327406,126.93911195
1769007,도경+동관+수진 파일에 존재,내곡동 1 1221 Climb,내곡동 1 1221 Climb,,내곡동 1 1221 Climb,42.0,47.0,0.94,5.1,서울특별시,42.0,47.0,0.94,5.1,,,,,42.0,47.0,0.94,5.1,37.45612213,127.06212632,37.45728497,127.07211377
