segment_id,이름_도경,이용자수_도경,누적기록_도경,거리km_도경,경사_도경,도시_도경,이름_동관,이용자수_동관,누적기록_동관,거리km_동관,경사_동관,이름_진숙,이용자수_진숙,누적기록_진숙,경사_진숙,거리km_진숙,출처,시작_위도,시작_경도,끝_위도,끝_경도
876205,광장동 381 22 Climb,132.0,432.0,0.91,5.3,서울특별시,,,,,,,,,,,도경 파일에만 존재,37.54287446208754,127.0942938066124,37.54896534433953,127.09871323305929
917413,용산동2가 산1 3 Climb,5023.0,14936.0,1.09,11.7,서울특별시,용산동2가 산1 3 Climb,5022.0,14933.0,1.09,11.7,,,,,,도경+동관 파일에 존재,37.5522804,126.982212,37.5510265,126.9892332
1093002,,,,,,,시흥2동 266 2487 Climb,160.0,653.0,1.19,10.5,,,,,,동관 파일에만 존재,37.4593827,126.9141238,37.4545854,126.9231968
1237484,Seoul Korea Park Run,916.0,7142.0,1.99,0.0,서울특별시,Seoul Korea Park Run,916.0,7142.0,1.99,0.0,Seoul Korea Park Run,,,0.0,1.992,세 파일 모두 존재,37.5111568,127.0501283,37.5111724,127.050058
1372186,북한동 468 5 Climb,1278.0,1894.0,0.62,13.2,고양시,북한동 468 5 Climb,1278.0,1894.0,0.62,13.2,,,,,,도경+동관 파일에 존재,37.655618698990615,126.95763833300671,37.65237198,126.96226796
1448526,서초1동 1185 Climb,166.0,1083.0,1.04,12.6,서울특별시,서초1동 1185 Climb,166.0,1083.0,1.04,12.6,서초1동 1185 Climb,,,12.6,1.04,세 파일 모두 존재,37.48249815311283,127.0204734429717,37.47585264500231,127.01678783632816
1454505,정릉4동 산1 59 Climb,1802.0,3195.0,0.9,12.1,서울특별시,정릉4동 산1 59 Climb,1802.0,3194.0,0.9,12.1,정릉4동 산1 59 Climb,,,12.1,0.902,세 파일 모두 존재,37.61714466666666,127.00224495,37.61644073333333,126.99525691666668
1454506,정릉3동 산1 278 Climb,1807.0,3291.0,0.94,13.4,서울특별시,정릉3동 산1 278 Climb,1807.0,3290.0,0.94,13.4,정릉3동 산1 278 Climb,,,13.4,0.935,세 파일 모두 존재,37.61512618333333,126.99275266666668,37.61433513333333,126.9852246
1454507,평창동 404 Climb,1271.0,2203.0,0.81,6.4,서울특별시,평창동 404 Climb,1271.0,2202.0,0.81,6.4,평창동 404 Climb,,,6.4,0.806,세 파일 모두 존재,37.61446431666667,126.97956836666664,37.61732928333333,126.97507871666666
1454508,구기동 77 1 Climb,1225.0,2047.0,0.47,13.9,서울특별시,,,,,,,,,,,도경 파일에만 존재,37.61348976666667,126.96801875,37.61411558333333,126.96445508333332
1510863,반포4동 49 6 Climb,586.0,1576.0,0.84,6.2,서울특별시,반포4동 49 6 Climb,586.0,1575.0,0.84,6.2,반포4동 49 6 Climb,,,6.2,0.845,세 파일 모두 존재,37.50352080449229,127.0059354511341,37.49721912204986,127.00763119396474
1510864,방배4동 산17 3 Climb,854.0,3020.0,0.34,13.9,서울특별시,방배4동 산17 3 Climb,853.0,3017.0,0.34,13.9,방배4동 산17 3 Climb,,,13.9,0.34,세 파일 모두 존재,37.4940205877996,127.00313832622672,37.49249596152221,127.00042619381752
1577719,,,,,,,장암동 산160 Climb,125.0,211.0,3.6,15.3,,,,,,동관 파일에만 존재,37.68248947355121,127.05562341687428,37.69798283373884,127.08125550557332
1592983,회현동1가 205 2 Climb,426.0,1217.0,0.8,6.8,서울특별시,회현동1가 205 2 Climb,426.0,1217.0,0.8,6.8,회현동1가 205 2 Climb,,,6.8,0.798,세 파일 모두 존재,37.55860085,126.97684597,37.55535743,126.9814893
1592984,,,,,,,신당6동 41 44 Climb,58.0,195.0,0.7,7.9,,,,,,동관 파일에만 존재,37.55952005,127.01441626,37.55740106,127.01865935
1620965,,,,,,,홍은1동 산1 70 Climb,1159.0,1960.0,0.68,12.0,,,,,,동관 파일에만 존재,37.60833233333334,126.95720423333331,37.60901666666667,126.95209486666666
1620966,진관동 158 28 Climb,2442.0,5233.0,0.49,9.3,서울특별시,진관동 158 28 Climb,2442.0,5232.0,0.49,9.3,진관동 158 28 Climb,,,9.3,0.492,세 파일 모두 존재,37.6229472,126.93267983333332,37.626521200000006,126.93241496666666
1620967,진관동 산172 Climb,2266.0,4906.0,0.69,10.0,서울특별시,,,,,,진관동 산172 Climb,2266.0,4905.0,10.0,0.689,도경+진숙 파일에 존재,37.630568700000005,126.933519,37.6327406,126.93911195
1769007,내곡동 1 1221 Climb,42.0,47.0,0.94,5.1,서울특별시,내곡동 1 1221 Climb,42.0,47.0,0.94,5.1,,,,,,도경+동관 파일에 존재,37.45612213,127.06212632,37.45728497,127.07211377
1980921,서린동 82 4 Climb,11277.0,28094.0,0.82,5.0,서울특별시,서린동 82 4 Climb,11265.0,28060.0,0.82,5.0,서린동 82 4 Climb,11256.0,28045.0,5.0,0.817,세 파일 모두 존재,37.56847556683939,126.98589750577416,37.56902969445807,126.97867280815446
1984289,,,,,,,심곡동 396 93 Climb,190.0,679.0,0.47,13.6,심곡동 396 93 Climb,190.0,679.0,13.6,0.467,동관+진숙 파일에 존재,37.449186,127.088429,37.445423,127.088361
2143255,Namsan loop,116.0,238.0,7.88,0.0,서울특별시,Namsan loop,116.0,238.0,7.88,0.0,Namsan loop,,,0.0,7.883,세 파일 모두 존재,37.5411526,126.9977576,37.5413186,126.997844
2188534,,,,,,,장충동 193 34 Climb,678.0,1235.0,0.75,9.7,,,,,,동관 파일에만 존재,37.5589153,127.0052914,37.5555074,127.0004203
2220757,항동 128 3 Climb,68.0,201.0,2.31,16.1,하남시,,,,,,,,,,,도경 파일에만 존재,37.49061275739223,127.15703643858431,37.48663940001279,127.1779347024858
2321194,낙성대동 산4 9 Climb,1661.0,3390.0,0.47,8.6,서울특별시,,,,,,,,,,,도경 파일에만 존재,37.462726593,126.972511292,37.459690094,126.969398499
2326258,,,,,,,광장동 381 22 Climb,898.0,1839.0,0.59,12.3,,,,,,동관 파일에만 존재,37.5473403930664,127.102172851562,37.5519943237305,127.099838256836
