d_cell_id,공원명,공원종류
다사61505325,배봉산<시공원>,근린공원
다사54005575,(북한산,도시자연공원
다사51004450,상도<시공원>,근린공원
다사42005025,우장산근린공원,OSM보완
다사58755875,오동<시공원>,근린공원
다사49004750,여의도,근린공원
다사67754325,장지<시공원>,근린공원
다사47754625,영등포,근린공원
다사50505425,안산<시공원>,도시자연공원
다사57255025,응봉공원,OSM보완
다사53755300,경복,근린공원
다사60254200,달터<시공원>,근린공원
다사69755050,명일<시공원>,근린공원
다사39255375,방화,근린공원
다사45254125,금천한내(안양천,강변공원
다사58506175,쌍문<시공원>,근린공원
다사65755600,중랑캠핑숲,OSM보완
다사68755000,샛마을,근린공원
다사40754750,서서울호수,문화공원
다사49504650,자매,근린공원
다사48004350,보라매,근린공원
다사59504900,서울숲,기타공원
다사46255125,월드컵,근린공원
다사62254400,양재천,마을마당
다사69254850,허브천문공원,OSM보완
다사59255750,오동<시공원>,근린공원
다사65755625,나들이공원,근린공원
다사58754175,바우뫼,근린공원
다사67504500,오금<시공원>,근린공원
다사50755550,(북한산,도시자연공원
다사54755325,원서,근린공원
다사50504675,여의도지구,강변공원
다사49754050,관악산<시공원>,도시자연공원
다사44255300,월드컵,근린공원
다사42004875,까치산,근린공원
다사59504350,도곡근린공원,OSM보완
다사68254300,장지<시공원>,근린공원
다사59504950,서울숲,기타공원
다사67254650,올림픽공원,기타공원
다사60005050,중랑천,강변공원
다사61255250,답십리<시공원>,근린공원
다사49255000,와우근린공원,OSM보완
다사59004100,시민의숲,근린공원
다사58006150,쌍문<시공원>,근린공원
다사51504575,노량진<시공원>,근린공원
다사44755250,월드컵,근린공원
다사52254275,까치산<시공원>,근린공원
다사57753725,서울대공원,근린공원
다사57255725,(북한산,도시자연공원
다사64755500,용마<시공원>,도시자연공원
다사66504625,올림픽공원,기타공원
다사49004400,보라매,근린공원
다사70005000,명일<시공원>,근린공원
다사57253600,서울대공원,근린공원
다사62255400,중랑천변,강변공원
다사63003900,인능산2<시공원>,도시자연공원
다사56503675,서울대공원,근린공원
다사64754625,신천교통,근린공원
다사54254650,동빙고,근린공원
다사51254600,사육신공원,OSM보완
다사53005250,경희궁<시공원>,근린공원
다사55005300,종묘,근린공원
다사48254525,메낙골,근린공원
다사62004775,뚝섬지구,강변공원
다사45004925,용왕산<시공원>,근린공원
다사41755125,원당,근린공원
다사45754875,안양천공원,강변공원
다사55255575,(북한산,도시자연공원
다사56005200,훈련원,근린공원
다사56005075,남산,도시자연공원
다사51254550,노량진<시공원>,근린공원
다사67504275,장지<시공원>,근린공원
다사66504475,웃말,근린공원
다사54755625,(북한산,도시자연공원
다사60506000,초안산<시공원>,근린공원
다사57253725,서울대공원,근린공원
다사40755175,서울식물원,OSM보완
다사46004875,안양천공원,강변공원
다사52004950,효창<시공원>,근린공원
다사57754800,잠실지구,강변공원
다사55005050,남산,도시자연공원
다사56505350,(낙산,근린공원
다사56253725,서울대공원,근린공원
다사58005525,개운산<시공원>,근린공원
다사52504950,효창<시공원>,근린공원
다사55255250,종묘광장,광장
다사64504550,송파나루근린공원,OSM보완
다사57004200,우면산<시공원>,도시자연공원
다사50255650,(북한산,도시자연공원
다사70255050,명일<시공원>,근린공원
다사49004050,관악산<시공원>,도시자연공원
다사50754100,관악산<시공원>,도시자연공원
다사43504900,봉제산<시공원>,근린공원
다사61504650,탄천,마을마당
다사56505775,(북한산,도시자연공원
다사44004650,양천,근린공원
다사48004150,관악산<시공원>,도시자연공원
다사53505175,덕수,근린공원
다사55505075,남산,도시자연공원
다사57253700,서울대공원,근린공원
다사67004650,올림픽공원,기타공원
다사50254725,여의도지구,강변공원
다사54505025,남산,도시자연공원
다사47005675,봉산<시공원>,도시자연공원
다사55005075,남산,도시자연공원
다사49755400,백련<시공원>,근린공원
다사67754525,성내천,강변공원
다사64504525,송파나루근린공원,OSM보완
다사42504525,고척<시공원>,근린공원
다사50754550,노량진<시공원>,근린공원
다사55754950,남산,도시자연공원
다사57255300,숭인,근린공원
다사50255425,안산<시공원>,도시자연공원
다사66754650,올림픽공원,기타공원
다사62755025,어린이대공원,근린공원
다사44504775,오목,근린공원
다사69005050,원터,근린공원
다사58004625,학동,근린공원
다사65504300,탄천,마을마당
다사69755075,방죽,근린공원
다사49254800,여의도지구,강변공원
다사50253750,관악산<시공원>,도시자연공원
다사56503775,서울대공원,근린공원
다사41005275,마곡(미조성,체육공원
다사52505350,인왕산<시공원>,도시자연공원
다사57503700,서울대공원,근린공원
