o_cell_id,o_cell_x,o_cell_y,역사명,호선
다사37505150,937625,1951625,김포공항,5호선
다사37505400,937625,1954125,개화,9호선
다사37755150,937875,1951625,김포공항,5호선
다사37755325,937875,1953375,개화,9호선
다사37755375,937875,1953875,개화,9호선
다사37755400,937875,1954125,개화,9호선
다사38005150,938125,1951625,김포공항,5호선
다사38005200,938125,1952125,김포공항,5호선
다사38005350,938125,1953625,개화,9호선
다사38005375,938125,1953875,개화,9호선
다사38005400,938125,1954125,개화,9호선
다사38255125,938375,1951375,김포공항,5호선
다사38255350,938375,1953625,개화,9호선
다사38505250,938625,1952625,개화산,5호선
다사38505275,938625,1952875,개화산,5호선
다사38755075,938875,1950875,송정,5호선
다사38755250,938875,1952625,개화산,5호선
다사39005350,939125,1953625,방화,5호선
다사39254375,939375,1943875,온수(성공회대입구),7호선
다사39255075,939375,1950875,송정,5호선
다사39255325,939375,1953375,방화,5호선
다사39255350,939375,1953625,방화,5호선
다사39504325,939625,1943375,온수(성공회대입구),7호선
다사39504350,939625,1943625,온수(성공회대입구),7호선
다사39504375,939625,1943875,온수(성공회대입구),7호선
다사39504425,939625,1944375,온수(성공회대입구),7호선
다사39505075,939625,1950875,송정,5호선
다사39505100,939625,1951125,송정,5호선
다사39505325,939625,1953375,방화,5호선
다사39754300,939875,1943125,온수(성공회대입구),7호선
다사39754325,939875,1943375,온수(성공회대입구),7호선
다사39754350,939875,1943625,온수(성공회대입구),7호선
다사39754375,939875,1943875,온수(성공회대입구),7호선
다사39754425,939875,1944375,온수(성공회대입구),7호선
다사39755075,939875,1950875,마곡,5호선
다사39755250,939875,1952625,신방화,9호선
다사39755300,939875,1953125,방화,5호선
다사39755325,939875,1953375,방화,5호선
다사40004300,940125,1943125,온수(성공회대입구),7호선
다사40004325,940125,1943375,온수(성공회대입구),7호선
다사40004350,940125,1943625,온수(성공회대입구),7호선
다사40004375,940125,1943875,온수(성공회대입구),7호선
다사40004400,940125,1944125,온수(성공회대입구),7호선
다사40004425,940125,1944375,온수(성공회대입구),7호선
다사40005100,940125,1951125,마곡,5호선
다사40005125,940125,1951375,마곡,5호선
다사40005275,940125,1952875,신방화,9호선
다사40254325,940375,1943375,온수(성공회대입구),7호선
다사40254350,940375,1943625,온수(성공회대입구),7호선
다사40254375,940375,1943875,온수(성공회대입구),7호선
다사40254425,940375,1944375,온수(성공회대입구),7호선
다사40255050,940375,1950625,마곡,5호선
다사40255100,940375,1951125,마곡,5호선
다사40255125,940375,1951375,마곡,5호선
다사40255275,940375,1952875,마곡나루,9호선
다사40504325,940625,1943375,온수(성공회대입구),7호선
다사40504400,940625,1944125,온수(성공회대입구),7호선
다사40504425,940625,1944375,온수(성공회대입구),7호선
다사40504975,940625,1949875,우장산,5호선
다사40505000,940625,1950125,우장산,5호선
다사40505025,940625,1950375,우장산,5호선
다사40505075,940625,1950875,마곡,5호선
다사40505100,940625,1951125,마곡,5호선
다사40505225,940625,1952375,마곡나루,9호선
다사40505250,940625,1952625,마곡나루,9호선
다사40754325,940875,1943375,천왕,7호선
다사40754375,940875,1943875,온수(성공회대입구),7호선
다사40754400,940875,1944125,온수(성공회대입구),7호선
다사40754950,940875,1949625,우장산,5호선
다사40754975,940875,1949875,우장산,5호선
다사40755025,940875,1950375,우장산,5호선
다사40755050,940875,1950625,우장산,5호선
다사40755225,940875,1952375,마곡나루,9호선
다사40755250,940875,1952625,마곡나루,9호선
다사41004375,941125,1943875,천왕,7호선
다사41004875,941125,1948875,화곡,5호선
다사41004900,941125,1949125,화곡,5호선
다사41004925,941125,1949375,화곡,5호선
다사41004975,941125,1949875,우장산,5호선
다사41005000,941125,1950125,우장산,5호선
다사41005025,941125,1950375,우장산,5호선
다사41254250,941375,1942625,천왕,7호선
다사41254275,941375,1942875,천왕,7호선
다사41254300,941375,1943125,천왕,7호선
다사41254325,941375,1943375,천왕,7호선
다사41254350,941375,1943625,천왕,7호선
다사41254400,941375,1944125,오류동,경인선
다사41254425,941375,1944375,오류동,경인선
다사41254850,941375,1948625,화곡,5호선
다사41254875,941375,1948875,화곡,5호선
다사41254900,941375,1949125,화곡,5호선
다사41255000,941375,1950125,우장산,5호선
다사41255025,941375,1950375,우장산,5호선
다사41255100,941375,1951125,발산,5호선
다사41255125,941375,1951375,발산,5호선
다사41255150,941375,1951625,발산,5호선
다사41255225,941375,1952375,양천향교,9호선
