CELL_ID,outflow,inflow,total
다사53755250,32094.48,32291.73,64386.21
다사56004500,25833.87,28696.66,54530.53
다사49254750,23830.61,24139.09,47969.7
다사52255125,23284.17,22806.11,46090.28
다사55755300,23190.03,20671.86,43861.88
다사64754600,19429.43,20781.17,40210.6
다사58755100,20397.63,19021.26,39418.89
다사61506175,18756.64,19476.77,38233.4
다사52504775,17302.73,20089.64,37392.37
다사58254400,17952.87,18414.88,36367.75
다사58004425,18322.13,18021.95,36344.08
다사61004575,17916.88,18047.61,35964.49
다사49005075,16334.89,19534.51,35869.41
다사60254500,16505.18,16740.6,33245.77
다사61004600,16517.02,16615.35,33132.37
다사54004325,15788.32,16186.11,31974.43
다사54005175,15873.13,16024.11,31897.23
다사42254800,15718.85,15951.24,31670.09
다사64754575,15387.88,16024.87,31412.75
다사66754875,15441.89,15822.1,31263.99
다사60254325,16143.13,14607.76,30750.89
다사58006000,14843.15,15571.16,30414.31
다사56254500,13094.08,16731.59,29825.67
다사45254875,14352.34,15052.73,29405.07
다사49004725,14488.79,14653.07,29141.86
다사51004900,14359.49,14613.64,28973.13
다사54004275,14224.44,14664.38,28888.82
다사49004350,14419.01,14334.73,28753.74
다사64254575,14278.25,14387.73,28665.98
다사47254650,13674.36,14587.27,28261.63
다사40505225,13952.9,14212.77,28165.67
다사49255700,14111.47,13832.22,27943.7
다사49504275,13206.52,13795.55,27002.07
다사65254750,13985.68,12942.23,26927.91
다사54005200,13144.58,13706.62,26851.2
다사61006175,13146.71,13262.25,26408.96
다사58004475,12509.34,13870.79,26380.13
다사48755775,12728.21,13268.07,25996.28
다사44754775,13082.35,12642.25,25724.6
다사60254450,13223.03,12431.57,25654.6
다사64254850,12849.42,12726.97,25576.38
다사45004850,12981.42,12579.98,25561.4
다사49504675,12315.25,12956.74,25271.99
다사54004200,11766.25,13126.21,24892.46
다사56505225,12227.86,12406.65,24634.51
다사52754775,11755.2,12814.55,24569.75
다사54755250,11471.61,12925.38,24396.98
다사64504625,12179.04,12117.86,24296.9
다사54505225,11296.61,12743.96,24040.57
다사60254400,12369.22,11644.4,24013.62
다사47254700,12135.87,11825.4,23961.26
다사47504625,11342.68,12610.02,23952.7
다사44254725,11869.19,11757.75,23626.94
다사66504250,11856.31,11687.67,23543.97
다사58756075,11542.79,11895.95,23438.74
다사42004650,11936.94,11474.69,23411.63
다사40255125,11736.7,11634.06,23370.77
다사61004450,11330.88,11773.82,23104.7
다사50005075,11371.07,11683.42,23054.48
다사55505175,11378.44,11553.15,22931.58
다사54255125,11585.5,11308.03,22893.52
다사60504500,11396.0,11481.97,22877.97
다사54255225,10999.3,11847.47,22846.77
다사61754900,10861.72,11928.62,22790.34
다사44754750,11419.53,11288.2,22707.73
다사54755225,11058.76,11602.96,22661.73
다사54005250,11171.62,11384.46,22556.07
다사67005000,11143.56,11173.88,22317.43
다사56005375,11026.66,11245.43,22272.09
다사54005150,11135.99,11049.61,22185.6
다사63755525,11026.24,11090.99,22117.23
다사57004375,10854.45,11034.17,21888.62
다사49504300,10880.8,10965.83,21846.63
다사59755350,10557.84,11248.22,21806.06
다사64504575,10578.27,11015.59,21593.85
다사50255100,10039.67,11500.18,21539.85
다사59754950,10693.19,10743.94,21437.13
다사51504225,10392.75,11016.76,21409.51
다사63254575,10695.92,10645.1,21341.02
다사47255200,10811.3,10483.05,21294.36
다사61255850,10758.33,10524.48,21282.81
다사53755175,10707.94,10569.49,21277.43
다사48005025,10426.94,10642.72,21069.67
다사49254700,10501.12,10546.2,21047.32
다사56255225,10433.48,10522.79,20956.27
다사49254275,10079.36,10821.39,20900.75
다사62004925,9231.93,11640.12,20872.05
다사55504850,10421.19,10433.64,20854.83
다사62004875,10572.97,10182.24,20755.21
다사59004475,10327.42,10400.02,20727.44
다사46754725,10392.83,10320.57,20713.4
다사58504450,10177.26,10430.19,20607.44
다사49254675,10028.8,10523.75,20552.56
다사53505225,10294.48,10235.51,20529.99
다사54255150,9588.84,10918.28,20507.12
다사55755375,9649.94,10776.12,20426.06
다사58254425,9944.3,10428.55,20372.85
다사49004700,10189.23,10177.92,20367.15
다사66754575,10125.78,10180.33,20306.1
다사58754450,9945.17,10314.37,20259.54
다사47004275,9749.01,10472.09,20221.11
다사38255175,9907.4,10258.56,20165.96
다사51504250,9752.66,10407.99,20160.66
다사51755025,10111.56,9945.91,20057.47
다사61004400,9903.26,9958.35,19861.6
다사60754550,9778.18,10057.67,19835.86
다사42004425,9878.18,9742.07,19620.26
다사56754450,10064.23,9492.66,19556.89
다사55005150,9485.15,10040.26,19525.41
다사59754500,9603.77,9898.33,19502.1
다사59005150,9634.77,9844.51,19479.29
다사58505625,9919.95,9475.01,19394.96
다사58254450,9251.01,10122.73,19373.74
다사53755100,9657.6,9707.12,19364.72
다사47254750,9682.68,9520.55,19203.23
다사53755125,9515.38,9669.54,19184.93
다사52504200,9442.77,9665.73,19108.51
다사60754925,9411.92,9516.67,18928.59
다사65754625,9461.26,9436.23,18897.49
다사66504400,9375.94,9503.38,18879.32
다사64504325,9852.74,9026.47,18879.21
다사55005225,9303.8,9501.18,18804.98
다사63255300,9494.44,9228.49,18722.92
다사58254750,9276.06,9414.19,18690.25
다사60004525,9218.07,9297.06,18515.13
다사65754575,9294.29,9191.19,18485.48
다사69505025,9432.46,9045.61,18478.07
다사54005225,9074.08,9396.2,18470.28
다사66254300,9169.08,9293.78,18462.87
다사58005850,9273.45,9140.06,18413.51
다사65254600,8511.59,9870.28,18381.87
다사44754725,9055.42,9288.17,18343.6
다사41505100,9064.52,9258.17,18322.69
다사53255100,9147.82,9148.12,18295.94
다사60004450,8842.57,9444.25,18286.82
다사55755225,8946.29,9277.71,18224.0
다사62254875,8975.41,9232.83,18208.23
다사56754375,9032.94,9147.63,18180.58
다사47755075,8965.38,9161.73,18127.11
다사59254475,9013.61,9062.57,18076.18
다사45504875,9026.98,8984.61,18011.58
다사61254975,8961.85,8933.68,17895.53
다사61254450,8834.33,8995.3,17829.63
다사58754425,8752.08,9033.79,17785.87
다사49505700,8764.94,9001.56,17766.5
다사54255200,8716.41,9012.39,17728.8
다사60505475,8559.72,9156.37,17716.09
다사45754550,8901.54,8763.97,17665.5
다사57754475,8534.33,9120.35,17654.68
다사64004900,8812.68,8815.28,17627.96
다사51004975,8655.38,8958.87,17614.26
다사57505600,8789.27,8806.39,17595.65
다사60256150,8732.52,8861.08,17593.6
다사58755525,8968.01,8620.39,17588.4
다사51504950,8588.22,8912.1,17500.32
다사63004875,8836.65,8630.54,17467.19
다사63504525,9022.21,8400.99,17423.2
다사60754525,8682.89,8645.59,17328.48
다사62255000,8885.11,8425.9,17311.01
다사51005025,8759.43,8484.89,17244.31
다사47004250,8571.11,8656.23,17227.33
다사62004900,8402.36,8800.79,17203.14
다사67254350,8753.96,8447.12,17201.08
다사54505175,8454.41,8707.96,17162.37
다사51504400,6640.09,10513.14,17153.23
다사62506100,8608.07,8517.46,17125.54
다사62505075,8284.57,8775.29,17059.86
다사57004950,8559.93,8371.96,16931.89
다사55755250,8376.49,8535.06,16911.55
다사57755950,8403.19,8501.41,16904.6
다사50754100,2368.46,14527.33,16895.79
다사49005100,7942.12,8908.34,16850.46
다사54505275,8085.87,8744.81,16830.68
다사62754600,8507.07,8299.58,16806.65
다사48754775,8321.09,8445.22,16766.32
다사49254725,8343.99,8421.53,16765.53
다사50505150,8998.44,7756.44,16754.88
다사60005350,7857.78,8895.75,16753.53
다사58755625,8585.61,8156.06,16741.68
다사70505075,8468.32,8265.82,16734.14
다사41005125,8182.03,8549.31,16731.33
다사45504225,8304.8,8373.32,16678.11
다사58004400,8236.29,8430.31,16666.6
다사42755150,8515.84,8146.95,16662.78
다사53004750,8137.04,8469.87,16606.91
다사58254375,8242.43,8330.83,16573.27
다사45504650,8315.36,8096.81,16412.18
다사51755100,8445.02,7860.6,16305.62
다사46504300,8314.04,7945.38,16259.41
다사69755050,8087.0,8158.31,16245.31
다사66254500,8269.62,7892.62,16162.24
다사61256175,7906.52,8248.35,16154.86
다사50755450,7983.33,8167.69,16151.02
다사57004400,7985.55,8119.3,16104.85
다사59754700,8135.08,7953.44,16088.52
다사46004550,7963.81,8114.03,16077.83
다사61004550,7989.4,8054.7,16044.11
다사63005150,8075.75,7898.06,15973.81
다사61256200,7863.71,8104.55,15968.26
다사53755225,7918.44,8038.26,15956.7
다사67254850,8017.55,7935.83,15953.38
다사68254950,7890.56,8061.35,15951.91
다사58255425,8305.42,7617.56,15922.97
다사61005500,8378.04,7478.9,15856.94
다사66754200,7905.79,7946.11,15851.9
다사49004775,7919.89,7922.52,15842.41
다사56255175,7822.18,8008.55,15830.72
다사61254375,7917.58,7881.08,15798.67
다사51004325,7992.84,7793.45,15786.29
다사59504475,7923.71,7804.8,15728.51
다사57255525,8004.46,7701.6,15706.06
다사51004925,7669.6,8018.84,15688.44
다사58004450,7774.02,7841.79,15615.81
다사59754400,8010.25,7575.59,15585.83
다사57005175,7683.27,7875.75,15559.02
다사44504775,7902.8,7641.91,15544.72
다사53004875,7832.99,7684.66,15517.65
다사60006100,8028.09,7489.1,15517.19
다사41254975,7871.94,7643.45,15515.39
다사61004525,7791.35,7716.33,15507.67
다사48755025,7540.42,7947.23,15487.64
다사54755200,7554.26,7919.98,15474.24
다사56755775,7844.84,7610.38,15455.21
다사58504400,7486.02,7955.38,15441.4
다사67504700,7583.82,7855.06,15438.88
다사62005225,7621.69,7780.22,15401.92
다사57005475,7534.42,7864.3,15398.72
다사53505150,7727.51,7668.9,15396.41
다사46504250,7969.24,7365.85,15335.09
다사48255425,7633.64,7671.21,15304.86
다사49505575,7627.25,7640.41,15267.66
다사54004225,7213.0,8007.66,15220.65
다사58504325,7722.9,7474.92,15197.82
다사54755175,7520.66,7669.98,15190.64
다사61506275,7738.11,7392.08,15130.19
다사59254500,7516.24,7565.92,15082.15
다사62754575,7132.11,7949.74,15081.84
다사49255100,7167.81,7913.84,15081.64
다사58754750,7639.86,7421.71,15061.57
다사57504650,7172.46,7864.03,15036.48
다사39755150,7568.32,7442.32,15010.64
다사51754425,8949.55,6050.63,15000.18
다사44755000,7563.72,7428.78,14992.51
다사53754650,7819.42,7142.38,14961.8
다사60004500,7512.12,7445.95,14958.07
다사49254450,7291.06,7666.27,14957.33
다사50504250,7313.77,7588.91,14902.68
다사59004450,7470.49,7422.26,14892.74
다사63505350,7335.49,7546.81,14882.31
다사67754825,7472.77,7373.89,14846.66
다사55004825,7220.05,7622.48,14842.53
다사56004825,7208.4,7589.25,14797.65
다사46004175,7399.06,7394.54,14793.6
다사47504500,7473.9,7305.05,14778.95
다사54005275,7298.72,7464.76,14763.48
다사59005125,7173.22,7581.59,14754.81
다사60254475,7153.34,7566.71,14720.05
다사53505250,7300.98,7416.84,14717.81
다사67254875,7432.52,7277.43,14709.95
다사51254250,7325.04,7383.87,14708.91
다사67004525,7489.26,7144.69,14633.96
다사66004350,7381.29,7248.1,14629.39
다사56505050,7080.18,7546.61,14626.79
다사62755850,7249.85,7341.27,14591.12
다사53755150,7026.56,7554.27,14580.83
다사60005375,7375.79,7180.45,14556.24
다사48504700,7330.48,7201.96,14532.44
다사45754650,7266.65,7257.48,14524.13
다사68505000,7342.53,7165.4,14507.93
다사61505125,7160.2,7328.8,14488.99
다사57004650,7436.48,7052.15,14488.63
다사58504350,7334.45,7136.17,14470.62
