CELL_ID,outflow,inflow,total
다사42254800,57633.8,57174.6,114808.4
다사56004250,35567.7,33951.4,69519.1
다사53254825,31195.15,30917.25,62112.4
다사53755250,28004.55,28481.6,56486.15
다사56004500,26125.05,29216.25,55341.3
다사59254300,25110.4,24530.8,49641.2
다사64754600,24117.1,25321.8,49438.9
다사61004600,24930.85,24338.65,49269.5
다사49254750,23496.55,24199.7,47696.25
다사66504400,22733.9,22691.9,45425.8
다사61004575,21216.3,20335.7,41552.0
다사58254400,20270.95,20795.25,41066.2
다사60254500,19899.6,20279.7,40179.3
다사54004325,18793.95,19267.15,38061.1
다사58755100,19417.65,18041.8,37459.45
다사50754975,19006.05,18417.7,37423.75
다사52504775,16784.95,20589.1,37374.05
다사68254875,18644.85,18657.45,37302.3
다사49005075,17083.85,20189.4,37273.25
다사61506175,17915.1,18610.2,36525.3
다사64254575,18013.8,18343.5,36357.3
다사64754575,17749.55,18291.0,36040.55
다사55755300,19348.0,16498.65,35846.65
다사56254500,15701.35,20077.4,35778.75
다사47004250,17569.3,17764.25,35333.55
다사54005175,17438.4,17520.65,34959.05
다사58004425,16637.25,16265.9,32903.15
다사58004475,15744.75,17118.85,32863.6
다사61254975,16520.7,16294.6,32815.3
다사58254750,16336.95,16441.6,32778.55
다사58006000,15856.75,16565.15,32421.9
다사54005200,15788.85,16168.95,31957.8
다사65254750,16405.9,14958.3,31364.2
다사46004550,15554.7,15689.1,31243.8
다사42254775,15510.95,15380.4,30891.35
다사49254675,15028.3,15555.4,30583.7
다사61004550,14544.25,14744.45,29288.7
다사60254325,15089.9,13439.65,28529.55
다사64254850,14282.8,14244.65,28527.45
다사61006175,14092.05,14308.0,28400.05
다사59754500,13965.35,14351.75,28317.1
다사64504575,13622.35,14422.1,28044.45
다사58254450,13359.5,14670.6,28030.1
다사54755250,13262.55,14753.9,28016.45
다사65254600,12882.45,14840.0,27722.45
다사54004200,13284.95,14434.0,27718.95
다사56505225,13644.05,13740.3,27384.35
다사49004700,13627.95,13664.0,27291.95
다사66754875,13475.0,13710.2,27185.2
다사64504625,13571.95,13463.1,27035.05
다사53755100,13362.65,13378.75,26741.4
다사47254750,13332.55,13237.35,26569.9
다사59754950,13169.45,13372.45,26541.9
다사55755375,12571.65,13941.55,26513.2
다사56005375,13159.65,13337.1,26496.75
다사58754425,13102.6,13388.55,26491.15
다사49755025,13184.85,13271.65,26456.5
다사51504225,12735.45,13677.3,26412.75
다사50255100,12490.8,13904.45,26395.25
다사58254125,13452.25,12933.2,26385.45
다사60254450,13584.2,12781.3,26365.5
다사68004875,13186.6,13171.2,26357.8
다사48755775,12898.9,13456.8,26355.7
다사54005250,13043.1,13179.6,26222.7
다사57004375,12919.9,13050.1,25970.0
다사58504450,12876.85,13067.6,25944.45
다사54255225,12570.6,13331.5,25902.1
다사67005000,12875.1,12989.9,25865.0
다사47254650,12505.5,13235.95,25741.45
다사50005075,12685.05,13003.2,25688.25
다사63254575,12728.1,12959.1,25687.2
다사49004725,12771.5,12731.95,25503.45
다사62004925,11042.85,14439.6,25482.45
다사54755225,12444.6,12892.6,25337.2
다사49504675,12184.55,13004.6,25189.15
다사49504275,12324.2,12824.0,25148.2
다사49254275,12141.15,12969.25,25110.4
다사58004450,12493.6,12593.7,25087.3
다사56255225,12464.2,12530.35,24994.55
다사49504300,12523.7,12461.75,24985.45
다사45004850,12604.9,12354.65,24959.55
다사65754625,12483.1,12438.3,24921.4
다사55505175,12328.4,12559.4,24887.8
다사58754450,12015.85,12426.4,24442.25
다사45254875,11929.4,12481.7,24411.1
다사63755525,12202.4,12202.05,24404.45
다사53505225,12232.5,11961.95,24194.45
다사61754900,11495.75,12696.95,24192.7
다사54255150,11489.1,12670.35,24159.45
다사51755025,12078.85,11985.75,24064.6
다사60754550,11702.25,12178.25,23880.5
다사47504625,11138.4,12729.5,23867.9
다사62004875,12157.95,11667.6,23825.55
다사65754575,11940.95,11834.2,23775.15
다사58756075,11618.25,12120.5,23738.75
다사50004575,11706.8,11992.75,23699.55
다사48754800,11748.8,11902.1,23650.9
다사54505225,11282.6,12298.65,23581.25
다사54005150,11716.6,11674.25,23390.85
다사59005150,11606.0,11783.45,23389.45
다사48504700,11751.6,11521.3,23272.9
다사54004275,11403.7,11748.45,23152.15
다사61255850,11708.9,11411.05,23119.95
다사49004375,11517.8,11591.3,23109.1
다사52504200,11444.3,11640.65,23084.95
다사47004275,11073.3,12002.55,23075.85
다사56754375,11515.7,11511.5,23027.2
다사66254300,11355.4,11498.55,22853.95
다사49254700,11398.8,11410.0,22808.8
다사51504250,11070.15,11723.25,22793.4
다사59004475,11311.3,11363.45,22674.75
다사58005850,11336.5,11213.65,22550.15
다사61004525,11302.55,11224.15,22526.7
다사54255200,11046.35,11438.0,22484.35
다사64504325,11680.55,10658.2,22338.75
다사54255125,11334.4,10894.1,22228.5
다사55005150,10886.75,11317.95,22204.7
다사57505250,11056.85,11069.8,22126.65
다사53755125,10965.85,11128.6,22094.45
다사51004900,10817.8,11175.15,21992.95
다사58505625,11208.05,10754.45,21962.5
다사47255200,11062.1,10812.9,21875.0
다사50754100,2650.2,19058.9,21709.1
다사56754450,11064.2,10460.45,21524.65
다사63004875,10920.35,10550.75,21471.1
다사47755075,10578.75,10883.95,21462.7
다사60754600,10722.25,10700.9,21423.15
다사59755350,10453.1,10906.0,21359.1
다사60505475,10351.25,10970.75,21322.0
다사60004450,10409.0,10867.85,21276.85
다사53755175,10627.4,10550.4,21177.8
다사52255125,10688.65,10487.75,21176.4
다사41755175,10724.0,10439.1,21163.1
다사63504525,10892.35,10246.95,21139.3
다사55504850,10494.75,10617.95,21112.7
다사51004975,9807.7,11265.8,21073.5
다사55755225,10344.25,10633.7,20977.95
다사62255000,10706.5,10222.8,20929.3
다사48754700,10559.5,10326.05,20885.55
다사44254725,10421.25,10450.65,20871.9
다사58255425,10886.05,9906.75,20792.8
다사57255525,10566.15,10130.4,20696.55
다사61004400,10374.7,10309.25,20683.95
다사44754725,10214.75,10457.3,20672.05
다사66754575,10179.75,10383.8,20563.55
다사69505025,10476.55,10063.55,20540.1
다사49254725,10199.7,10218.25,20417.95
다사66504250,10369.1,10013.5,20382.6
다사58254375,10029.25,10207.4,20236.65
다사58254425,9881.55,10352.65,20234.2
다사38255175,9860.9,10262.0,20122.9
다사60754925,9973.6,10144.05,20117.65
다사60754525,10069.5,10036.25,20105.75
다사49504725,10027.85,10077.9,20105.75
다사51504950,9777.25,10283.0,20060.25
다사55755250,9923.2,10096.1,20019.3
다사63255300,10171.7,9843.75,20015.45
다사59254475,9998.45,9953.3,19951.75
다사62254875,9984.45,9908.5,19892.95
다사60504525,10021.2,9854.6,19875.8
다사58755150,10064.95,9795.1,19860.05
다사53505150,9911.3,9922.5,19833.8
다사60504500,9840.6,9958.9,19799.5
다사58505400,9907.8,9778.3,19686.1
다사58755525,10000.2,9649.15,19649.35
다사59254500,9728.25,9875.25,19603.5
다사53755225,9813.65,9774.45,19588.1
다사58004400,9675.4,9912.35,19587.75
다사62004900,9537.85,10007.2,19545.05
다사53255100,9767.1,9765.35,19532.45
다사54505175,9647.05,9854.25,19501.3
다사64754625,9839.55,9651.95,19491.5
다사60005350,9019.85,10459.4,19479.25
다사70505075,9691.85,9736.65,19428.5
다사46504250,10143.35,9279.2,19422.55
다사61004450,9411.15,9901.5,19312.65
다사62505075,9322.95,9958.55,19281.5
다사50505150,10415.65,8824.2,19239.85
다사55005225,9478.0,9623.95,19101.95
다사50505125,7071.4,12005.0,19076.4
다사60504950,9175.25,9831.15,19006.4
다사65004600,9296.0,9699.2,18995.2
다사51504975,9737.7,9242.45,18980.15
다사41505100,9401.7,9574.25,18975.95
다사54505275,9148.65,9726.15,18874.8
다사49505700,9293.9,9538.55,18832.45
다사49005100,8950.2,9861.25,18811.45
다사67754825,9473.45,9328.9,18802.35
다사57004950,9446.5,9302.65,18749.15
다사60005375,9500.4,9191.0,18691.4
다사57504650,8912.05,9710.05,18622.1
다사46004175,9390.5,9222.5,18613.0
다사57754475,8989.05,9612.05,18601.1
다사40505225,9142.7,9434.25,18576.95
다사60254400,9569.35,9007.6,18576.95
다사65254425,9535.4,9026.85,18562.25
다사67254850,9271.85,9252.6,18524.45
다사67254350,9436.35,9066.05,18502.4
다사46504275,9193.8,9238.95,18432.75
다사53755150,8902.25,9523.5,18425.75
다사56255175,9077.95,9267.65,18345.6
다사64004900,9073.05,9259.25,18332.3
다사49505575,9154.6,9140.25,18294.85
다사58755625,9363.2,8876.0,18239.2
다사59005125,8931.65,9306.15,18237.8
다사47504500,9089.5,9084.95,18174.45
다사59504200,9146.9,8982.05,18128.95
다사66754200,9053.8,9069.2,18123.0
다사47254700,9057.65,9059.05,18116.7
다사58754750,9152.85,8926.75,18079.6
다사59004450,9056.25,8995.7,18051.95
다사56505050,8724.1,9325.4,18049.5
다사60254475,8759.8,9289.35,18049.15
다사50255075,8738.8,9291.45,18030.25
다사54755200,8808.45,9163.7,17972.15
다사60004500,8958.6,8982.4,17941.0
다사47004650,9025.8,8910.65,17936.45
다사57005175,8869.7,9043.3,17913.0
다사60005075,10956.75,6900.95,17857.7
다사57505600,8923.95,8929.2,17853.15
다사60256150,8897.7,8910.3,17808.0
다사57505475,8660.05,9144.8,17804.85
다사65004525,8811.95,8979.95,17791.9
다사64504600,8836.45,8922.55,17759.0
다사66004350,8954.4,8803.55,17757.95
다사51004250,8785.7,8910.3,17696.0
다사51755100,9088.8,8596.7,17685.5
다사41505150,8793.75,8827.35,17621.1
다사61005500,9378.95,8238.3,17617.25
다사56755775,8953.0,8661.45,17614.45
다사59004400,8799.7,8778.0,17577.7
다사48505100,8884.75,8660.4,17545.15
다사61256200,8687.7,8856.75,17544.45
다사59754400,8999.2,8543.85,17543.05
다사52755175,9074.45,8448.3,17522.75
다사51754425,10196.55,7311.15,17507.7
다사44504775,8892.1,8613.85,17505.95
다사54005225,8624.7,8875.3,17500.0
다사67754850,8873.2,8557.85,17431.05
다사51504400,6730.5,10688.3,17418.8
다사49254450,8462.3,8835.05,17297.35
다사57005475,8471.05,8763.3,17234.35
다사58255075,8926.4,8305.5,17231.9
다사43005100,8774.5,8442.35,17216.85
다사50754600,8304.1,8829.1,17133.2
다사49004750,8832.6,8291.5,17124.1
다사65254525,8383.9,8685.6,17069.5
다사45504875,8539.3,8523.2,17062.5
다사59504475,8604.75,8441.65,17046.4
다사69755050,8460.55,8580.25,17040.8
다사52505225,8485.05,8541.4,17026.45
다사48005025,8410.15,8592.85,17003.0
다사57755950,8472.45,8508.15,16980.6
다사67754775,8488.9,8484.0,16972.9
다사59255125,8332.1,8636.25,16968.35
다사62755850,8451.8,8489.6,16941.4
다사59004700,8434.3,8493.1,16927.4
다사58004525,8107.05,8813.7,16920.75
다사68254950,8382.5,8501.5,16884.0
다사54005275,8369.2,8511.65,16880.85
다사62004575,8002.4,8864.1,16866.5
다사58504350,8578.85,8285.9,16864.75
다사60004975,8705.55,8141.7,16847.25
다사49004800,8341.2,8489.6,16830.8
다사41254975,8412.25,8402.1,16814.35
다사48255075,8397.2,8403.5,16800.7
다사59254100,8115.1,8588.65,16703.75
다사66004375,8249.85,8451.8,16701.65
다사50005100,7555.45,9143.4,16698.85
다사51754500,11085.9,5559.75,16645.65
다사67004525,8389.15,8241.1,16630.25
다사60004525,8282.05,8319.5,16601.55
다사59754700,8270.15,8326.5,16596.65
다사63505350,8178.8,8397.55,16576.35
다사53004875,8398.95,8163.4,16562.35
다사64254525,8189.65,8357.3,16546.95
다사59754975,8554.7,7959.35,16514.05
다사54255250,8130.5,8336.3,16466.8
다사63005150,8315.65,8135.4,16451.05
다사61254375,8253.35,8192.1,16445.45
다사53255300,8046.5,8386.0,16432.5
다사61254450,8097.95,8313.2,16411.15
다사48755025,8046.85,8339.45,16386.3
다사61506275,8328.6,7995.05,16323.65
다사68754850,8239.0,8076.95,16315.95
다사44754775,8337.0,7953.4,16290.4
다사46754800,7980.35,8306.9,16287.25
다사49004775,8152.9,8114.75,16267.65
다사51254250,8138.9,8089.55,16228.45
다사58754600,8090.25,8135.4,16225.65
다사62754575,7617.05,8571.85,16188.9
다사57254275,8096.2,8060.5,16156.7
다사50504250,7945.0,8207.85,16152.85
다사46504300,8197.35,7881.65,16079.0
다사51504925,7831.25,8237.95,16069.2
다사62006075,8180.9,7868.0,16048.9
다사53255225,8081.85,7949.9,16031.75
다사53505100,7950.25,8018.85,15969.1
다사67254725,8017.8,7950.6,15968.4
다사46255325,7823.9,8114.05,15937.95
다사49255100,7566.65,8361.15,15927.8
다사62754600,8010.45,7904.4,15914.85
다사58254350,8038.1,7870.8,15908.9
다사63504275,8096.2,7788.2,15884.4
다사51005150,9730.0,6112.05,15842.05
다사52005300,8015.7,7805.0,15820.7
다사58255225,7978.25,7833.7,15811.95
다사57005225,8402.45,7368.9,15771.35
다사64255400,7925.75,7816.55,15742.3
다사61256175,7682.85,8048.25,15731.1
다사64754525,7744.8,7907.9,15652.7
다사58754300,7881.3,7770.35,15651.65
다사62755100,7757.05,7872.9,15629.95
다사56755225,7949.9,7663.6,15613.5
다사62005225,7826.7,7762.3,15589.0
다사68505025,8026.55,7550.2,15576.75
다사59254650,7786.1,7773.15,15559.25
다사49254350,7801.5,7751.45,15552.95
다사58004725,7748.65,7796.95,15545.6
다사48754775,7680.05,7836.85,15516.9
다사48505675,7981.75,7532.0,15513.75
다사55005250,7399.0,8114.4,15513.4
다사54755175,7707.0,7768.25,15475.25
다사62004825,7813.05,7661.85,15474.9
다사54005125,7672.0,7801.85,15473.85
다사57504575,7602.0,7854.0,15456.0
다사49004350,7731.5,7703.15,15434.65
다사41754925,7597.45,7756.35,15353.8
다사58505300,7769.65,7580.3,15349.95
다사53754650,8030.4,7289.45,15319.85
다사59255525,7701.75,7601.3,15303.05
다사66754900,7571.2,7729.05,15300.25
다사55004825,7515.2,7772.1,15287.3
다사55504250,7814.8,7458.15,15272.95
다사67754425,7648.9,7615.3,15264.2
다사66254500,7750.05,7511.35,15261.4
다사58005625,7641.55,7617.4,15258.95
다사67504700,7520.8,7703.5,15224.3
다사63754900,7694.4,7529.55,15223.95
다사69504300,7716.1,7493.5,15209.6
다사58005175,7591.5,7569.45,15160.95
다사53755200,7596.05,7563.5,15159.55
다사46504750,7423.5,7705.95,15129.45
다사49255700,7641.2,7472.5,15113.7
다사47504675,7410.55,7677.25,15087.8
다사48255425,7503.3,7576.8,15080.1
다사48504750,7582.05,7493.5,15075.55
다사41005125,7412.65,7651.0,15063.65
다사66754750,7597.1,7465.85,15062.95
다사68755000,7681.8,7380.45,15062.25
다사58505825,7686.0,7355.6,15041.6
다사68505000,7624.75,7415.45,15040.2
다사61005775,7513.1,7522.55,15035.65
다사54255275,7441.35,7550.55,14991.9
다사49504700,7402.5,7583.1,14985.6
다사53255150,7866.95,7101.85,14968.8
다사54004225,7135.1,7833.35,14968.45
다사68754375,7417.2,7539.7,14956.9
다사55755425,7048.3,7901.25,14949.55
다사63754950,7636.3,7265.65,14901.95
다사50755450,7355.6,7546.0,14901.6
다사51754225,7097.3,7764.75,14862.05
다사58005425,3127.95,11716.95,14844.9
다사52505125,7395.85,7444.15,14840.0
다사58504300,7428.4,7346.85,14775.25
다사50004300,7368.55,7333.2,14701.75
다사60006100,7608.65,7079.45,14688.1
다사60505175,7323.05,7335.3,14658.35
다사53505275,7212.45,7439.95,14652.4
다사46754625,7329.7,7300.65,14630.35
다사50504975,7252.0,7341.25,14593.25
다사56005300,5856.2,8728.3,14584.5
다사55004375,7292.95,7288.75,14581.7
다사60754950,7151.55,7423.5,14575.05
다사53004275,7274.75,7253.4,14528.15
다사47755625,7343.7,7151.55,14495.25
다사59754275,7177.1,7316.05,14493.15
다사67504750,7197.05,7282.8,14479.85
다사53505250,7190.4,7263.55,14453.95
다사54755150,7233.1,7214.2,14447.3
다사67004900,7105.7,7284.2,14389.9
다사60754500,7277.9,7102.55,14380.45
다사48755375,7550.2,6807.15,14357.35
다사49504750,7114.1,7242.2,14356.3
다사55254250,7175.0,7179.55,14354.55
다사50755100,7277.9,7065.8,14343.7
다사54255175,6991.25,7344.05,14335.3
다사44004450,7161.7,7168.35,14330.05
다사51004925,7014.0,7312.2,14326.2
다사59004750,6971.65,7354.2,14325.85
다사56754325,7193.2,7128.8,14322.0
다사58505725,7126.0,7182.35,14308.35
다사43254625,7334.6,6953.45,14288.05
다사66504775,7282.45,6995.45,14277.9
다사54254200,6545.35,7724.5,14269.85
다사58505700,6913.55,7315.0,14228.55
다사62755825,7101.85,7073.5,14175.35
다사42005100,7057.75,7092.75,14150.5
다사61754975,7213.85,6929.65,14143.5
다사56504825,6960.45,7171.5,14131.95
다사63254500,7188.65,6940.5,14129.15
다사62004300,7100.1,7024.15,14124.25
다사48005375,7023.1,7093.8,14116.9
다사59254725,7011.2,7102.2,14113.4
다사62006175,7136.15,6974.45,14110.6
다사42004425,7117.25,6976.9,14094.15
다사65254575,6889.05,7193.9,14082.95
다사64254925,7365.75,6704.95,14070.7
다사60006525,7054.6,7015.05,14069.65
다사51005075,7119.35,6949.25,14068.6
다사59005325,7057.4,7009.1,14066.5
다사42255150,7112.0,6940.5,14052.5
다사57004650,7262.15,6770.75,14032.9
다사45504525,7032.55,6993.0,14025.55
다사48755575,7110.95,6914.6,14025.55
다사68254150,6993.7,7030.8,14024.5
다사58005125,7042.35,6972.35,14014.7
다사50255050,6186.25,7822.15,14008.4
다사61755975,7086.8,6914.6,14001.4
다사48255600,7043.4,6955.55,13998.95
다사61504550,7068.25,6926.85,13995.1
다사57254625,6970.25,7021.35,13991.6
다사58754275,6901.65,7031.15,13932.8
다사66504300,6965.0,6947.85,13912.85
다사60755200,6962.9,6946.45,13909.35
다사58505675,6932.45,6976.55,13909.0
다사53255250,6993.35,6913.9,13907.25
다사62506100,6890.45,6969.2,13859.65
다사56004825,6689.9,7155.75,13845.65
다사55505700,9044.0,4783.1,13827.1
다사50754950,7014.0,6799.8,13813.8
다사53255025,6689.9,7121.8,13811.7
다사50754575,6880.65,6924.05,13804.7
다사63254325,7129.85,6632.85,13762.7
다사50255150,8336.3,5425.35,13761.65
다사59504050,7045.85,6714.75,13760.6
다사66754925,6911.8,6847.05,13758.85
다사57504975,6859.3,6891.85,13751.15
다사57004300,6859.3,6890.8,13750.1
다사46504650,6904.45,6837.6,13742.05
다사57004400,6828.85,6910.4,13739.25
다사58254600,6899.9,6819.75,13719.65
다사57004625,7066.85,6652.45,13719.3
다사53005200,6934.55,6776.35,13710.9
다사46504850,6922.3,6762.0,13684.3
다사58504400,6616.4,7059.85,13676.25
다사62255775,6792.1,6847.4,13639.5
다사53255125,6814.85,6820.8,13635.65
